Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,PPC,GPC,Others[b],Margin of error[c],Sample size[d],Polling method[e],Lead
Polling firm,Last date of polling[a],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others[b],Margin of error[c],Sample size[d],Polling method[e],Lead
2025 election,"April 28, 2025",,41.3,43.8,6.3,6.3,0.7,1.2,0.4,—N/a,19597674,—N/a,2.5
,,,,,,,,,,,,,
Liaison Strategies,"April 27, 2025",[1],41,43,7,6,1,1,1,±3.09 pp,1000,IVR,2
Forum Research,"April 27, 2025",[2],39,43,8,6,1,2,1,±4.0 pp,1153,IVR,4
Nanos Research,"April 27, 2025",[3],39.9,42.6,7.8,6.4,1.1,1.9,—N/a,±3.4 pp,863,telephone,2.7
Research Co.,"April 27, 2025",[4],39,44,7,6,1,2,1,±3.1 pp,1019,online,5
Mainstreet Research,"April 27, 2025",[5],41,44,6,6,1,1,1,±2.2 pp,"2,000 (1/3)",IVR (rolling),3
Abacus Data,"April 27, 2025",[6],39,41,10,6,3,1,0,±2.0 pp,2500,online,2
Ekos,"April 27, 2025",[7],37.5,43.6,9.2,4.4,2,2,1,±2.3 pp,"1,805 (0.01/1)",telephone/online,6.1
Pallas Data,"April 26, 2025",[8],38.8,43.2,7.3,6.4,0.9,2.3,1.0,±2.7 pp,1294,IVR,4.4
Liaison Strategies,"April 26, 2025",[9],41,44,6,6,1,1,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),3
Nanos Research,"April 26, 2025",[10],38.9,43.0,8.0,6.1,1.1,2.8,0.1,±2.4 pp,"1,698 (1/2)",telephone (rolling),4.1
Mainstreet Research,"April 26, 2025",[11],43,44,5,5,1,1,1,±2.4 pp,"1,669 (1/3)",IVR (rolling),1
Innovative Research,"April 26, 2025",[12],37,41,11,6,2,3,0,—N/a,1587,online,4
MQO Research,"April 26, 2025",[13],38,43,10,5,1,3,0,±2.1 pp,2236,online,5
Angus Reid,"April 26, 2025",[14],40,44,6,7,—N/a,1,1,±2 pp,2820,online,4
Ekos,"April 26, 2025",[7],38.1,43.5,8.5,4.6,1.8,2.1,1.4,±2.2 pp,1918,IVR,5.4
Ipsos,"April 26, 2025",[15],38,42,9,6,1,2,1,±2.4 pp,2500,telephone/online,4
Liaison Strategies,"April 25, 2025",[16],40,44,7,6,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),4
Mainstreet Research,"April 25, 2025",[17],40,45,7,6,1,1,1,±2.6 pp,"1,405 (1/3)",IVR (rolling),5
Nanos Research,"April 25, 2025",[18],38.6,41.9,9.4,6.0,1.3,2.9,0.0,±2.7 pp,"1,291 (1/3)",telephone (rolling),3.3
Leger,"April 25, 2025",[19],39,43,8,6,1,2,1,±2.53 pp,"1,502 (4/5)",online,4
YouGov (MRP),"April 25, 2025",[20],39,42,10,5,2,2,1,—N/a,"5,964 (3/20)",—N/a,3
Pollara,"April 24, 2025",[21],38,41,10,6,2,2,1,±2.0 pp,2382,telephone/online,3
Liaison Strategies,"April 24, 2025",[22],39,44,8,6,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"April 24, 2025",[23],38.4,42.7,8.3,5.9,1.4,3.2,0.0,±2.7 pp,"1,302 (1/3)",telephone (rolling),4.3
Mainstreet Research,"April 24, 2025",[24],41,43,7,6,1,1,1,±2.7 pp,"1,365 (1/3)",IVR (rolling),2
Liaison Strategies,"April 23, 2025",[25],38,43,8,6,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),5
Nanos Research,"April 23, 2025",[26],39.3,42.9,7.2,6.0,1.4,3.0,0.1,±2.7 pp,"1,307 (1/3)",telephone (rolling),3.6
Mainstreet Research,"April 23, 2025",[27],40,43,9,5,1,2,1,±2.6 pp,"1,425 (1/3)",IVR (rolling),3
Innovative Research,"April 23, 2025",[28],38,38,12,7,—N/a,3,2,—N/a,1584,online,0
Focaldata,"April 23, 2025",[29],37.5,40.5,10.7,6.5,2.4,2.1,0.2,—N/a,2826,online,3.0
Cardinal Research,"April 23, 2025",[30],39,44,7,7,—N/a,2,1,±2 pp,4057,IVR,5
Liaison Strategies,"April 22, 2025",[31],39,42,8,6,1,2,1,±2.53 pp,"1,500 (1/3)",IVR (rolling),3
Nanos Research,"April 22, 2025",[32],38.5,44.1,7.7,5.4,0.9,3.4,0.1,±2.7 pp,"1,313 (1/3)",telephone (rolling),5.6
Mainstreet Research,"April 22, 2025",[33],41,42,6,6,2,2,2,±2.6 pp,"1,410 (1/3)",IVR (rolling),1
YouGov (MRP),"April 22, 2025",[34],38,42,10,6,2,2,1,—N/a,6077,—N/a,4
