Polling firm,Last date of polling,Link,Mark Carney,Pierre Poilievre,Jagmeet Singh,Yves-François Blanchet,Elizabeth May/Jonathan Pedneault[l],Maxime Bernier,Unsure,Margin of error[c],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[c],Lead
Nanos Research,"April 27, 2025",[3],51.9,32.1,5.8,3.1,0.9,1.1,3.0,±3.4 pp,19.8
Research Co.,"April 27, 2025",[4],45.0,35.0,7,3,1,2,7,±3.1 pp,10.0
Abacus Data,"April 27, 2025",[6],40.0,37.0,10,—N/a,—N/a,—N/a,8,±2.0 pp,3.0
Nanos Research,"April 26, 2025",[10],48.5,35.2,4.5,2.8,1.1,1.0,4.4,±2.4 pp,13.3
Innovative Research,"April 26, 2025",[12],44.0,37.0,11,4,3,2,0,—N/a,7.0
Angus Reid,"April 26, 2025",[14],47.0,31.0,—N/a,—N/a,—N/a,—N/a,7,±2 pp,16.0
Nanos Research,"April 25, 2025",[18],46.8,34.1,5.8,3.2,1.0,1.1,5.2,±2.7 pp,12.7
Leger,"April 25, 2025",[19],40.0,31.0,6,—N/a,2,2,9,±2.53 pp,9.0
Nanos Research,"April 24, 2025",[23],46.2,34.7,4.8,3.1,1.2,1.2,5.9,±2.7 pp,11.5
Nanos Research,"April 23, 2025",[26],46.3,36.9,4.5,2.5,1.3,1.5,4.8,±2.7 pp,9.4
Innovative Research,"April 23, 2025",[28],42.0,38.0,10,4,3,3,0,—N/a,4.0
Nanos Research,"April 22, 2025",[32],48.9,35.4,4.0,2.4,1.9,1.2,4.5,±2.7 pp,13.5
Nanos Research,"April 21, 2025",[37],47.3,34.5,5.6,3.1,1.9,1.3,4.8,±2.7 pp,12.8
Abacus Data,"April 21, 2025",[39],41.0,35.0,10,—N/a,—N/a,—N/a,10,±2.3 pp,6.0
Leger,"April 21, 2025",[40],41.0,31.0,6,—N/a,2,2,10,±2.45 pp,10.0
Innovative Research,"April 21, 2025",[651],39.0,40.0,10,4,3,3,0,—N/a,1.0
Angus Reid,"April 21, 2025",[41],49.0,31.0,—N/a,—N/a,—N/a,—N/a,8,±1.5 pp,18.0
Research Co.,"April 20, 2025",[42],45.0,35.0,8,3,1,1,7,±3.1 pp,10.0
Nanos Research,"April 20, 2025",[45],47.4,33.2,6.0,3.5,1.7,1.4,5.3,±2.7 pp,14.2
Innovative Research,"April 20, 2025",[28],43.0,37.0,10,4,3,3,0,—N/a,6.0
Ipsos,"April 19, 2025",[48],41.0,36.0,11,5,2,5,0,±3.8 pp,5.0
MQO Research,"April 19, 2025",[49],43.0,32.0,8,3,—N/a,—N/a,12,±2 pp,11.0
Nanos Research,"April 19, 2025",[52],45.3,34.3,6.5,3.5,1.2,1.2,6.5,±2.7 pp,11.0
Nanos Research,"April 17, 2025",[57],48.0,33.6,4.9,2.9,1.2,0.9,6.6,±2.7 pp,14.4
Nanos Research,"April 16, 2025",[61],47.4,33.9,4.7,2.9,1.2,1.0,7.3,±2.7 pp,13.5
Abacus Data,"April 15, 2025",[64],40.0,34.0,10,—N/a,2,2,11,±2.9 pp,6.0
Nanos Research,"April 15, 2025",[66],49.4,32.6,4.2,2.8,1.4,1.2,6.2,±2.7 pp,16.8
Nanos Research,"April 14, 2025",[69],48.9,33.1,4.2,2.6,1.1,1.7,6.4,±2.7 pp,15.8
Leger,"April 14, 2025",[71],38.0,30.0,7,—N/a,2,2,11,±1.79 pp,8.0
Innovative Research,"April 14, 2025",[72],44.0,38.0,10,2,3,3,0,—N/a,6.0
Nanos Research,"April 13, 2025",[74],49.8,34.3,4.3,2.4,1.3,1.6,4.1,±2.7 pp,15.5
Angus Reid,"April 13, 2025",[76],49.0,30.0,—N/a,—N/a,—N/a,—N/a,8,±2 pp,19.0
MQO Research,"April 12, 2025",[79],43.0,30.0,11,2,—N/a,—N/a,12,±2.3 pp,13.0
Nanos Research,"April 12, 2025",[81],48.7,35.0,4.0,2.7,1.6,1.4,4.2,±2.7 pp,13.7
Nanos Research,"April 11, 2025",[84],48.0,34.4,4.7,3.0,2.2,1.2,4.0,±2.8 pp,13.6
Nanos Research,"April 10, 2025",[88],47.3,34.4,4.4,2.8,2.1,0.9,4.8,±2.8 pp,12.9
Ipsos,"April 10, 2025",[86],41.0,36.0,12,5,2,4,0,±3.8 pp,5.0
Abacus Data,"April 10, 2025",[90],43.0,34.0,9,—N/a,2,2,10,±2.31 pp,9.0
Nanos Research,"April 9, 2025",[94],46.7,34.5,4.5,3.0,2.1,1.3,4.9,±2.8 pp,12.2
Nanos Research,"April 8, 2025",[97],47.4,34.3,4.7,2.8,1.5,1.2,5.5,±2.8 pp,13.1
Abacus Data,"April 8, 2025",[99],41.0,34.0,9,—N/a,3,3,13,±2.1 pp,7.0
Nanos Research,"April 7, 2025",[101],48.6,33.3,4.6,2.9,1.5,1.9,5.2,±2.8 pp,15.3
Angus Reid,"April 7, 2025",[103],50.0,28.0,—N/a,—N/a,—N/a,—N/a,9,±2 pp,22.0
Innovative Research,"April 7, 2025",[104],45.0,36.0,11,3,3,3,—N/a,—N/a,9.0
Research Co.,"April 6, 2025",[106],43.0,29.0,9,4,1,2,12,±3.1 pp,14.0
Leger,"April 6, 2025",[107],37.0,27.0,8,—N/a,2,2,13,±2.43 pp,10.0
Nanos Research,"April 6, 2025",[109],49.8,32.1,4.4,2.5,1.5,1.8,5.9,±2.8 pp,17.7
MQO Research,"April 6, 2025",[111],42.0,29.0,11,2,—N/a,—N/a,12,±2.5 pp,13.0
Nanos Research,"April 5, 2025",[115],50.2,31.0,3.8,3.0,1.9,1.9,5.6,±2.8 pp,19.2
Nanos Research,"April 4, 2025",[119],51.6,29.2,4.5,2.8,2.2,1.5,5.8,±2.8 pp,22.4
Ipsos,"April 3, 2025",[121],45.0,32.0,12,5,3,3,0,±3.8 pp,13.0
Nanos Research,"April 3, 2025",[123],50.9,30.9,4.7,2.8,2.1,1.5,5.0,±2.8 pp,20.0
Abacus Data,"April 3, 2025",[125],38.0,33.0,11,—N/a,3,2,12,±2.3 pp,5.0
Nanos Research,"April 2, 2025",[128],50.0,32.8,4.7,2.8,1.9,1.4,5.3,±2.8 pp,17.2
Nanos Research,"April 1, 2025",[132],48.7,33.9,5.3,2.6,1.6,1.1,5.4,±2.8 pp,14.8
Nanos Research,"March 31, 2025",[136],48.7,34.1,4.5,3.0,1.3,1.6,5.4,±2.8 pp,14.6
Innovative Research,"March 31, 2025",[139],33.0,32.0,9,3,2,2,14,—N/a,1.0
Leger,"March 31, 2025",[140],37.0,28.0,6,—N/a,2,2,14,±1.79 pp,9.0
Nanos Research,"March 30, 2025",[142],47.4,32.7,4.9,2.3,2.1,2.2,6.8,±2.8 pp,14.7
Nanos Research,"March 29, 2025",[147],47.7,32.0,4.3,2.2,2.2,2.7,6.4,±2.7 pp,15.7
MQO Research,"March 29, 2025",[149],40.0,30.0,10,2,—N/a,—N/a,14,±2.4 pp,10.0
Ipsos,"March 26, 2025",[652],44.0,33.0,8,3,5,3,4,±3.1 pp,11.0
Research Co.,"March 24, 2025",[653],39.0,33.0,9,3,2,2,12,±3.1 pp,6.0
Angus Reid,"March 24, 2025",[654],52.0,28.0,—N/a,—N/a,—N/a,—N/a,8,±2 pp,24.0
Leger,"March 23, 2025",[166],39.0,28.0,5,—N/a,3,2,14,±2.45 pp,11.0
Nanos Research,"March 21, 2025",[173],33.9,31.8,6.9,4.4,3.3,2.0,17.6,±3.0 pp,2.1
Innovative Research,"March 21, 2025",[172],34.0,27.0,10,3,3,4,16,—N/a,7.0
Abacus Data,"March 20, 2025",[175],38.0,34.0,9,—N/a,2,3,14,±2.5 pp,4.0
Ipsos,"March 17, 2025",[179],42.0,32.0,12,4,7,4,—N/a,±3.8 pp,10.0
Angus Reid,"March 16, 2025",[182],41.0,29.0,6,—N/a,—N/a,—N/a,—N/a,±1.5 pp,12.0
Nanos Research,"March 14, 2025",[185],30.7,31.4,8.6,5.1,3.1,2.0,19.1,±3.0 pp,0.7
Innovative Research,"March 13, 2025",[186],30.0,30.0,9,3,4,3,17,—N/a,0.0
