Polling firm,Last date of polling,Link,Justin Trudeau,Pierre Poilievre,Jagmeet Singh,Yves-François Blanchet,Elizabeth May,Maxime Bernier,Unsure,Margin of error[c],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[c],Lead
Nanos Research,"March 7, 2025",[194],29.9,33.1,9.6,4.9,3.3,1.6,17.5,±3.0 pp,3.2
Nanos Research,"February 28, 2025",[198],29.5,35.1,9.6,5.4,3.7,1.3,15.5,±3.1 pp,5.6
Nanos Research,"February 21, 2025",[205],28.2,35.7,9.4,5.5,3.9,1.4,15.8,±3.1 pp,7.5
Nanos Research,"February 14, 2025",[208],25.1,38.0,8.4,5.0,4.9,1.2,17.3,±3.1 pp,12.9
Nanos Research,"February 7, 2025",[214],21.4,36.8,10.6,5.5,5.1,1.6,19.1,±3.1 pp,15.4
Nanos Research,"January 31, 2025",[217],17.1,38.2,11.8,4.5,5.6,1.4,21.3,±3.1 pp,21.1
Nanos Research,"January 24, 2025",[221],16.0,38.0,13.2,4.0,5.6,1.3,21.8,±3.1 pp,22.0
Nanos Research,"January 17, 2025",[223],14.0,39.7,14.8,4.6,5.2,1.9,19.9,±3.1 pp,25.7
Nanos Research,"January 10, 2025",[228],14.7,41.7,14.6,4.5,4.7,1.8,18.0,±3.1 pp,27.0
Research Co.,"January 5, 2025",[234],21.0,39.0,12,6,3,2,17,±3.1 pp,18.0
Nanos Research,"January 3, 2025",[235],17.5,40.5,13.9,4.3,4.7,2.6,16.6,±3.1 pp,23.0
Nanos Research,"December 27, 2024",[238],17.4,40.0,13.9,4.3,4.2,2.7,17.6,±3.1 pp,22.6
Leger,"December 22, 2024",[239],11.0,31.0,13,—N/a,4,3,15,±2.51 pp,18.0
Nanos Research,"December 20, 2024",[241],20.0,37.2,15.3,3.5,4.5,2.5,17.0,±3.1 pp,17.2
Nanos Research,"December 13, 2024",[246],18.6,36.0,16.5,3.1,4.4,2.6,18.8,±3.0 pp,17.4
Nanos Research,"December 6, 2024",[249],19.6,34.6,16.3,3.6,4.7,2.1,19.2,±3.0 pp,15.0
Leger,"December 1, 2024",[252],15.0,31.0,13,—N/a,3,2,13,±2.5 pp,16.0
Nanos Research,"November 29, 2024",[253],20.0,34.6,17.0,4.0,4.3,2.0,18.1,±3.0 pp,14.6
Nanos Research,"November 22, 2024",[256],20.2,35.4,15.1,4.5,5.0,2.0,17.7,±3.1 pp,15.2
Nanos Research,"November 15, 2024",[258],21.8,34.7,13.9,5.9,5.7,1.6,16.4,±3.0 pp,12.9
Nanos Research,"November 8, 2024",[260],21.9,35.1,14.6,6.2,5.1,1.5,15.7,±3.1 pp,13.2
Leger,"November 3, 2024",[262],17.0,30.0,11,—N/a,3,2,15,±2.49 pp,13.0
Nanos Research,"November 1, 2024",[263],21.3,35.5,14.6,5.9,6.3,1.7,14.8,±3.1 pp,14.2
Nanos Research,"October 25, 2024",[266],21.7,34.1,16.0,5.3,5.8,1.6,15.5,±3.0 pp,12.4
Nanos Research,"October 18, 2024",[268],21.6,33.7,17.0,4.8,5.0,1.9,16.0,±3.1 pp,12.1
Nanos Research,"October 11, 2024",[269],20.6,34.3,16.2,4.0,5.9,1.9,17.1,±3.1 pp,13.7
Nanos Research,"October 4, 2024",[273],19.5,34.8,16.8,4.2,4.8,1.6,18.2,±3.1 pp,15.3
Leger,"September 29, 2024",[275],18.0,31.0,13,—N/a,4,2,13,±2.43 pp,13.0
Nanos Research,"September 27, 2024",[276],19.4,35.1,18.5,4.0,5.3,1.7,16.0,±3.0 pp,15.7
Nanos Research,"September 20, 2024",[280],21.7,34.5,18.0,2.9,4.4,1.5,16.9,±3.0 pp,12.8
Nanos Research,"September 13, 2024",[283],20.8,34.5,19.1,4.0,3.7,1.4,16.5,±3.0 pp,13.7
Ipsos,"September 9, 2024",[655],26.0,45.0,23,6,—N/a,—N/a,—N/a,±3.8 pp,19.0
Nanos Research,"September 6, 2024",[287],23.0,32.7,17.0,4.0,4.8,1.8,16.7,±2.9 pp,9.7
Nanos Research,"August 30, 2024",[289],21.6,33.1,16.1,4.8,5.0,2.1,17.2,±2.9 pp,11.5
Nanos Research,"August 23, 2024",[291],20.3,33.7,16.1,5.6,5.7,2.2,16.4,±3 pp,13.4
Nanos Research,"August 16, 2024",[294],20.6,34.4,14.6,5.0,5.6,2.8,16.9,±3 pp,13.8
Research Co.,"August 14, 2024",[295],22.0,37.0,14,5,4,2,16,±3.1 pp,15.0
Nanos Research,"August 9, 2024",[296],19.7,34.9,16.1,5.0,5.0,2.2,17.2,±3.1 pp,15.2
Nanos Research,"August 2, 2024",[298],21.1,35.1,15.8,4.6,4.4,1.6,17.3,±3.1 pp,14.0
Leger,"July 28, 2024",[300],16.0,29.0,13,—N/a,4,2,14,±2.45 pp,13.0
Nanos Research,"July 26, 2024",[301],21.9,35.8,15.4,4.1,3.9,1.6,17.4,±3.0 pp,13.9
Nanos Research,"July 19, 2024",[303],23.3,35.3,15.0,4.7,4.0,1.5,16.2,±3.0 pp,12.0
Nanos Research,"July 12, 2024",[304],23.3,36.4,13.7,5.4,4.5,1.4,15.2,±2.9 pp,13.1
Nanos Research,"July 5, 2024",[307],22.0,35.8,14.4,5.9,4.3,2.0,15.6,±2.9 pp,13.8
Nanos Research,"June 28, 2024",[308],24.0,35.3,13.4,5.9,4.5,1.7,15.2,±3.0 pp,11.3
Leger,"June 23, 2024",[311],19.0,26.0,14,—N/a,3,2,14,±2.45 pp,7.0
Nanos Research,"June 21, 2024",[313],24.2,36.0,13.1,5.6,4.0,1.6,15.5,±3.0 pp,11.8
Angus Reid,"June 17, 2024",[314],14.0,33.0,14,—N/a,—N/a,—N/a,10,±2 pp,19.0
Ipsos,"June 14, 2024",[656],25.0,44.0,23,8,—N/a,—N/a,—N/a,±3.8 pp,19.0
Nanos Research,"June 14, 2024",[316],24.4,35.6,13.6,4.7,5.0,1.7,14.9,±3.0 pp,11.2
Nanos Research,"June 7, 2024",[318],25.1,36.2,15.0,4.4,5.0,1.4,12.9,±3.0 pp,11.1
Nanos Research,"May 31, 2024",[319],23.2,36.5,15.9,5.2,4.6,1.6,13.0,±2.9 pp,13.3
Leger,"May 26, 2024",[320],16.0,28.0,16,—N/a,3,3,14,±2.44 pp,12.0
Nanos Research,"May 24, 2024",[321],22.0,36.8,16.2,5.8,5.1,1.3,12.8,±3.0 pp,14.8
Nanos Research,"May 17, 2024",[323],21.8,38.2,12.9,5.9,4.8,2.2,14.2,±2.9 pp,16.4
Nanos Research,"May 10, 2024",[326],21.2,38.0,11.4,5.6,4.7,2.2,16.8,±2.9 pp,16.8
Nanos Research,"May 3, 2024",[328],19.8,36.5,11.6,4.2,5.2,2.1,20.6,±3 pp,16.7
Abacus Data,"April 29, 2024",[330],21.0,41.0,17,—N/a,—N/a,—N/a,21,±2.6 pp,20.0
Leger,"April 28, 2024",[331],16.0,32.0,11,—N/a,4,2,14,±2.44 pp,16.0
Nanos Research,"April 26, 2024",[332],19.0,37.1,12.5,4.7,3.9,2.4,20.4,±3 pp,18.1
Angus Reid,"April 23, 2024",[657],16.0,35.0,13,—N/a,—N/a,—N/a,10,±2 pp,19.0
Nanos Research,"April 19, 2024",[336],18.4,34.9,14.1,4.9,3.3,2.0,22.4,±3.1 pp,16.5
Ipsos,"April 18, 2024",[658],23.0,48.0,22,—N/a,—N/a,—N/a,—N/a,±3.8 pp,25.0
Nanos Research,"April 12, 2024",[339],19.8,33.9,16.8,5.6,3.7,1.4,18.8,±3 pp,14.1
Research Co.,"April 10, 2024",[340],26.0,32.0,17,6,3,1,16,±3.1 pp,6.0
Nanos Research,"April 5, 2024",[343],21.1,32.0,17.0,5.9,4.9,2.7,16.5,±3 pp,10.9
Nanos Research,"March 29, 2024",[344],21.5,33.4,14.8,6.0,5.3,2.0,17.1,±3 pp,11.9
Leger,"March 25, 2024",[345],17.0,29.0,17,—N/a,3,1,15,±2.45 pp,12.0
Nanos Research,"March 22, 2024",[346],19.7,33.7,16.9,5.2,4.6,1.7,18.2,±3 pp,14.0
Nanos Research,"March 15, 2024",[349],19.9,33.5,16.2,4.6,4.6,1.8,19.4,±3 pp,13.6
Nanos Research,"March 8, 2024",[351],18.8,34.9,17.2,4.5,3.8,2.1,18.6,±3.1 pp,16.1
Angus Reid,"March 4, 2024",[353],17.0,31.0,15,—N/a,—N/a,—N/a,10,±2 pp,14.0
Nanos Research,"March 1, 2024",[354],19.2,36.9,17.0,3.8,2.7,1.7,18.7,±3.1 pp,17.7
Leger,"February 25, 2024",[355],17.0,27.0,16,—N/a,4,2,14,±2.49 pp,10.0
Nanos Research,"February 23, 2024",[356],18.6,36.3,16.9,3.9,3.7,1.6,19.0,±3.1 pp,17.7
Abacus Data,"February 21, 2024",[357],45.0,55.0,—N/a,—N/a,—N/a,—N/a,—N/a,±2.1 pp,10.0
Nanos Research,"February 16, 2024",[358],20.3,35.8,15.0,3.9,3.8,1.9,19.3,±3.1 pp,15.5
Nanos Research,"February 9, 2024",[359],20.8,36.2,14.5,4.0,4.0,1.9,18.6,±3.1 pp,15.4
Nanos Research,"February 2, 2024",[361],20.8,35.1,13.8,4.4,4.3,2.2,19.3,±3.1 pp,14.3
Leger,"January 26, 2024",[362],18.0,27.0,16,—N/a,3,2,16,±2.47 pp,9.0
Nanos Research,"January 26, 2024",[364],22.8,33.4,14.3,4.1,3.3,2.3,19.8,±3.1 pp,10.6
Abacus Data,"January 23, 2024",[365],46.0,54.0,—N/a,—N/a,—N/a,—N/a,—N/a,±2.1 pp,8.0
Ipsos,"January 22, 2024",[659],30.0,40.0,24,6,—N/a,—N/a,—N/a,±3.8 pp,10.0
Nanos Research,"January 19, 2024",[367],22.4,32.3,15.7,4.6,3.4,1.8,19.8,±3.1 pp,9.9
Nanos Research,"January 12, 2024",[369],22.0,31.4,15.6,4.1,4.1,1.6,21.3,±3.1 pp,9.4
Nanos Research,"January 5, 2024",[371],21.2,31.4,16.3,3.8,4.2,1.6,21.6,±3.1 pp,10.2
Nanos Research,"December 29, 2023",[372],21.4,33.0,15.2,3.3,4.5,1.4,21.2,±3.1 pp,11.6
Nanos Research,"December 22, 2023",[374],20.6,34.3,15.4,3.2,4.0,1.8,20.9,±3.1 pp,13.7
Leger,"December 17, 2023",[375],20.0,25.0,16,—N/a,3,1,15,±2.43 pp,5.0
Nanos Research,"December 15, 2023",[377],20.8,33.4,17.4,3.2,4.2,1.9,19.2,±3.1 pp,12.6
Nanos Research,"December 8, 2023",[380],20.9,32.8,16.2,3.5,4.3,1.8,20.5,±3.1 pp,11.9
Innovative Research,"December 5, 2023",[381],23.0,41.0,21,6,5,4,—N/a,—N/a,18.0
Angus Reid,"December 1, 2023",[660],16.0,34.0,13,—N/a,—N/a,—N/a,10,±1.5 pp,18.0
Nanos Research,"December 1, 2023",[383],19.1,33.4,16.8,3.9,4.8,1.9,20.1,±3.1 pp,14.3
Research Co.,"November 27, 2023",[385],23.0,32.0,18,4,4,2,18,±3.1 pp,9.0
Leger,"November 26, 2023",[387],19.0,25.0,17,—N/a,3,2,16,±2.51 pp,6.0
Nanos Research,"November 24, 2023",[388],19.0,34.1,16.2,3.6,5.7,1.7,19.7,±3.1 pp,15.1
Nanos Research,"November 17, 2023",[661],19.2,33.1,15.5,4.0,5.0,2.0,21.2,±3.1 pp,13.9
Leger,"November 12, 2023",[662],17.0,27.0,16,—N/a,2,2,18,±2.44 pp,10.0
Nanos Research,"November 10, 2023",[663],21.2,33.7,16.1,3.8,5.4,1.7,18.0,±3.1 pp,12.6
Nanos Research,"November 3, 2023",[664],22.7,34.1,16.0,3.7,4.5,1.8,17.2,±3.1 pp,11.4
Innovative Research,"October 31, 2023",[398],24.0,39.0,23,5,4,5,—N/a,—N/a,15.0
Leger,"October 29, 2023",[399],18.0,29.0,15,—N/a,4,2,17,±2.4 pp,11.0
Nanos Research,"October 27, 2023",[400],23.3,31.5,17.8,3.5,4.6,2.1,17.2,±3.1 pp,8.2
Nanos Research,"October 20, 2023",[665],23.0,32.6,16.8,2.9,5.1,2.2,17.4,±3.1 pp,9.6
Angus Reid,"October 13, 2023",[403],16.0,30.0,15,—N/a,—N/a,—N/a,11,±2 pp,14.0
Nanos Research,"October 13, 2023",[666],23.3,32.9,15.2,3.2,4.7,2.5,18.3,±3.1 pp,9.6
Nanos Research,"October 6, 2023",[667],23.5,32.1,15.0,3.4,4.7,2.3,19.0,±3.1 pp,8.6
Nanos Research,"September 29, 2023",[409],23.0,32.1,15.6,3.7,4.2,2.0,19.4,±3.1 pp,9.1
Leger,"September 24, 2023",[410],20.0,26.0,14,—N/a,2,2,17,±2.4 pp,6.0
Nanos Research,"September 22, 2023",[412],23.9,31.3,16.5,3.7,3.9,2.2,18.6,±3.1 pp,7.4
Ipsos,"September 18, 2023",[668],31.0,40.0,22,6,—N/a,—N/a,—N/a,±2.9 pp,9.0
Nanos Research,"September 15, 2023",[414],24.6,30.7,16.7,3.2,4.1,2.1,18.7,±3.1 pp,6.1
Nanos Research,"September 8, 2023",[417],25.4,28.9,16.9,3.2,4.3,2.9,18.4,±3.1 pp,3.5
Angus Reid,"September 6, 2023",[418],17.0,32.0,15,—N/a,—N/a,—N/a,11,±1.5 pp,15.0
Research Co.,"September 4, 2023",[419],28.0,28.0,17,4,3,1,20,±3.1 pp,0.0
Nanos Research,"September 1, 2023",[669],27.7,27.2,15.9,3.5,4.6,2.6,18.6,±3.1 pp,0.5
Nanos Research,"August 25, 2023",[670],27.5,27.5,16.1,3.9,5.1,2.4,17.6,±3.1 pp,0.0
Nanos Research,"August 18, 2023",[426],28.2,27.5,16.9,4.3,4.5,2.1,15.9,±3.1 pp,0.7
Nanos Research,"August 11, 2023",[671],28.0,27.8,16.3,4.1,5.0,1.5,17.3,±3.1 pp,0.2
Nanos Research,"August 4, 2023",[672],27.9,28.6,16.0,4.2,4.3,1.8,17.3,±3.1 pp,0.7
Nanos Research,"July 28, 2023",[673],25.9,28.4,15.3,4.4,4.0,2.5,19.5,±3.1 pp,2.5
Nanos Research,"July 21, 2023",[674],25.8,26.7,16.5,4.3,4.1,3.2,19.5,±3.1 pp,0.9
Nanos Research,"July 14, 2023",[675],26.3,28.2,16.9,3.6,3.7,2.9,18.3,±3.1 pp,1.9
Nanos Research,"July 7, 2023",[676],25.8,29.1,17.5,3.4,3.5,2.7,18.0,±3.1 pp,3.3
Nanos Research,"June 30, 2023",[677],27.2,28.4,17.8,3.4,3.4,2.4,17.3,±3.1 pp,1.2
Nanos Research,"June 23, 2023",[678],27.3,28.0,16.6,3.7,3.4,2.8,18.0,±3.1 pp,0.7
Nanos Research,"June 16, 2023",[679],27.1,27.5,17.9,3.5,3.0,2.4,18.5,±3.1 pp,0.4
Nanos Research,"June 9, 2023",[680],27.6,25.8,18.5,3.8,3.1,2.6,18.7,±3.1 pp,1.8
Nanos Research,"June 2, 2023",[681],26.8,26.6,19.1,3.7,2.5,2.4,18.9,±3.1 pp,0.2
Nanos Research,"May 26, 2023",[682],25.9,26.6,20.1,3.9,2.5,2.2,19.0,±3.1 pp,0.7
Nanos Research,"May 19, 2023",[683],25.9,27.3,19.1,4.2,2.9,2.2,18.4,±3.1 pp,1.4
Nanos Research,"May 12, 2023",[684],24.3,28.6,18.7,4.0,3.4,2.6,18.3,±3.1 pp,4.3
Leger,"May 8, 2023",[685],24.0,19.0,16,—N/a,3,2,—N/a,±2.51 pp,5.0
Nanos Research,"May 5, 2023",[456],23.9,28.3,18.8,4.5,3.4,2.8,18.3,±3.1 pp,4.4
Nanos Research,"April 28, 2023",[686],25.6,28.1,18.1,4.4,3.3,2.8,18.1,±3.1 pp,2.5
Nanos Research,"April 21, 2023",[687],25.3,27.5,18.4,3.8,3.4,2.5,19.1,±3.1 pp,2.2
Nanos Research,"April 14, 2023",[688],25.9,26.9,18.1,3.7,3.3,2.2,19.8,±3.1 pp,1.0
Leger,"April 11, 2023",[689],23.0,21.0,17,—N/a,3,3,—N/a,±2.52 pp,2.0
Nanos Research,"April 7, 2023",[690],26.2,28.4,16.0,4.0,3.5,2.8,18.9,±3.1 pp,2.2
Nanos Research,"March 31, 2023",[691],25.3,29.4,15.5,4.2,3.7,3.4,18.6,±3.1 pp,4.1
Nanos Research,"March 24, 2023",[692],25.9,28.7,16.1,4.4,3.8,3.9,17.2,±3.1 pp,2.8
Nanos Research,"March 17, 2023",[693],25.6,29.6,15.1,5.3,4.2,3.9,16.3,±3.1 pp,4.0
Leger,"March 12, 2023",[471],24.0,19.0,18,—N/a,2,2,—N/a,±2.49 pp,5.0
Nanos Research,"March 10, 2023",[694],27.5,27.3,15.8,5.5,3.9,3.3,16.6,±3.1 pp,0.2
Nanos Research,"March 3, 2023",[695],28.4,27.0,16.2,4.9,4.3,2.6,17.1,±3.1 pp,1.4
Research Co.,"February 27, 2023",[477],33.0,25.0,15,3,3,1,20,±3.1 pp,8.0
Nanos Research,"February 24, 2023",[696],31.4,26.7,14.2,5.0,4.5,2.2,16.1,±3.1 pp,4.7
Nanos Research,"February 17, 2023",[697],32.3,26.1,16.1,3.8,2.9,2.1,16.8,±3.1 pp,6.2
Leger,"February 12, 2023",[480],24.0,21.0,17,—N/a,3,2,—N/a,±2.5 pp,3.0
Nanos Research,"February 10, 2023",[481],32.8,25.8,15.8,3.6,3.5,2.0,16.3,±3.1 pp,7.0
Nanos Research,"February 3, 2023",[698],31.9,26.3,14.6,4.2,4.1,1.8,17.2,±3.1 pp,5.6
Nanos Research,"January 27, 2023",[699],30.4,26.3,16.1,4.5,3.8,1.9,17.0,±3.1 pp,4.1
Nanos Research,"January 20, 2023",[700],30.2,27.1,15.2,4.7,3.9,2,16.8,±3.1 pp,3.1
Nanos Research,"January 13, 2023",[489],30.0,27.5,16.2,4.2,4.2,2,15.9,±3.1 pp,2.5
Nanos Research,"January 6, 2023",[701],30.6,26.6,17.5,3.9,4.1,2.4,14.8,±3.1 pp,4.0
