Polling firm,Last date of polling,Link,Justin Trudeau,Pierre Poilievre,Jagmeet Singh,Yves-François Blanchet,Amita Kuttner,Maxime Bernier,Unsure,Margin of error[c],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unsure,Margin of error[c],Lead
Nanos Research,"November 18, 2022",[708],30.5,26.1,18.4,3.6,1.5,2.0,18.0,±3.1 pp,4.4
Nanos Research,"November 11, 2022",[709],31.0,27.3,18.0,4.1,1.6,1.4,16.6,±3.1 pp,3.7
Nanos Research,"November 4, 2022",[710],31.5,28.0,16.5,4.6,1.5,2.1,15.7,±3.1 pp,3.5
Nanos Research,"October 28, 2022",[711],30.7,28.9,15.1,4.8,1.6,3.0,15.9,±3.1 pp,1.8
Research Co.,"October 26, 2022",[505],30.0,24.0,17.0,4.0,1.0,2.0,21.0,±3.1 pp,4.0
Nanos Research,"October 21, 2022",[712],29.5,30.0,16.2,5.2,1.2,3.0,15.0,±3.1 pp,0.5
Nanos Research,"October 14, 2022",[713],29.8,30.0,14.9,3.7,0.7,2.7,18.1,±3.1 pp,0.2
Nanos Research,"October 7, 2022",[714],29.0,27.0,19.4,3.2,1.1,2.6,17.7,±3.1 pp,2.0
Nanos Research,"September 30, 2022",[715],28.2,24.8,20.8,2.9,1.1,2.6,19.6,±3.1 pp,3.4
Nanos Research,"September 23, 2022",[716],29.2,20.9,19.6,2.5,1.6,3.2,22.9,±3.1 pp,8.3
Ipsos,"September 20, 2022",[717],31.0,35.0,26.0,8.0,,,,,4.0
Leger,"September 18, 2022",[515],24.0,21.0,17.0,,1.0,3.0,,,3.0
Nanos Research,"September 16, 2022",[718],27.4,18.4,20.9,2.9,1.6,3.1,25.8,±3.0 pp,6.5
,,,,,,,,,,,
