Polling firm,Last date of polling[a],Link,Approve,Disapprove,Unsure/ Neither,Margin of error[c],Sample size[d],Polling method[e],Net approval
Polling firm,Last date of polling[a],Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unsure/ Neither,Margin of error[c],Sample size[d],Polling method[e],Net approval
Abacus Data,"March 25, 2025",[161],41%,25%,—N/a,±2.0 pp,2000,Online,+16%
The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in,The 30th Canadian Ministry led by prime minister Carney is sworn in
Abacus Data,"January 7, 2025",[231],21%,63%,—N/a,±2.0 pp,2500,Online,–42%
Leger,"December 22, 2024",[239],23%,72%,5%,±2.51 pp,1521,Online,–49%
Abacus Data,"December 17, 2024",[244],22%,62%,—N/a,±2.9 pp,1186,Online,–40%
Abacus Data,"December 4, 2024",[251],24%,61%,—N/a,±1.9 pp,2720,Online,–37%
Leger,"December 3, 2024",[252],26%,69%,5%,±2.5 pp,1532,Online,–43%
Abacus Data,"November 19, 2024",[257],25%,61%,—N/a,±2.3 pp,1915,Online,–36%
Abacus Data,"November 5, 2024",[261],25%,62%,—N/a,±2.3 pp,1915,Online,–37%
Leger,"November 3, 2024",[262],27%,68%,4%,±2.49 pp,1549,Online,–41%
Abacus Data,"October 22, 2024",[267],24%,61%,—N/a,±2.5 pp,1500,Online,–37%
Abacus Data,"October 10, 2024",[271],26%,59%,—N/a,±2.3 pp,1900,Online,–33%
Leger,"September 29, 2024",[275],27%,65%,6%,±2.43 pp,1626,Online,–38%
Abacus Data,"September 25, 2024",[277],25%,59%,—N/a,±2.4 pp,1700,Online,–34%
Leger,"August 25, 2024",[279],28%,64%,7%,±2.48 pp,1556,Online,–36%
Abacus Data,"September 12, 2024",[284],24%,62%,—N/a,±1.8 pp,2964,Online,–38%
Leger,"August 25, 2024",[290],28%,65%,5%,±2.45 pp,1602,Online,–37%
Abacus Data,"August 7, 2024",[297],27%,57%,—N/a,±2.489 pp,1550,Online,–30%
Leger,"July 28, 2024",[300],29%,66%,4%,±2.45 pp,1601,Online,–37%
Abacus Data,"July 9, 2024",[750],26%,60%,—N/a,±2.1 pp,1989,Online,–34%
Leger,"June 30, 2024",[751],27%,63%,9%,±2.51 pp,1521,Online,–36%
Leger,"June 23, 2024",[311],29%,65%,4%,±2.45 pp,1607,Online,–36%
Leger,"May 26, 2024",[320],27%,66%,5%,±2.44 pp,1620,Online,–39%
Leger,"April 28, 2024",[331],25%,69%,4%,±2.44 pp,1610,Online,–44%
Abacus Data,"April 16, 2024",[338],25%,57%,—N/a,±2 pp,2300,Online,–32%
