Polling firm,Last date of polling,Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,Margin of error[c],Sample size[d],Polling method[e],Lead
Polling firm,Last date of polling,Link,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Margin of error[c],Sample size[d],Polling method[e],Lead
,"March 9, 2025",Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.,Mark Carney is elected leader of the Liberal Party.
Ekos,"March 5, 2025",[195],35.3,42.4,10.7,5.5,1,4.1,1,±3.1 pp,1033,IVR,7.1
Angus Reid,"March 3, 2025",[573][574],40,37,11,9,2,0,1,—N/a,905,online,3
Leger,"March 2, 2025",[196],41,33,12,6,2,4,2,±2.49 pp,1548,online,8
Ekos,"February 24, 2025",[202],31.5,42.1,8.2,10.5,3,4,1,±7.1 pp,193,IVR,10.6
Pollara,"February 24, 2025",[203],37,37,14,7,3,1,0,±2.5 pp,1506,online,0
Leger,"February 23, 2025",[204],38,40,11,5,3,2,1,±2.50 pp,1244,online,2
Angus Reid,"February 18, 2025",[575][576],40,37,10,7,4,1,3,—N/a,921,online,3
Leger,"February 17, 2025",[206],40,39,9,6,3,2,1,—N/a,1227,online,1
Mainstreet Research,"February 13, 2025",[209],37,40,12,9,2,1,0,±2.9 pp,1128,text/online,3
Abacus Data,"February 11, 2025",[211],45,28,12,10,3,—N/a,2,±3.5 pp,757-852,online,17
Leger,"February 10, 2025",[212],37,37,12,6,5,2,2,±2.46 pp,1590,online,0
Pallas Data,"February 6, 2025",[215],38,39,9,7,3,2,2,±2.8 pp,1241,IVR,1
Angus Reid,"January 27, 2025",[577],43,29,13,10,3,1,1,±1.5 pp,1960,online,14
Angus Reid,"December 31, 2024",[578],36,14,18,9,23,23,23,±1.5 pp,2406,online,18
