Survey end date,Pollster/Client,Con,Lab,LD,Lead
Survey end date,Pollster/Client,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Lead
14 Dec,ICM/Observer,30%,50%,14%,20
12 Dec,Barnsley East by-election (Lab hold),Barnsley East by-election (Lab hold),Barnsley East by-election (Lab hold),Barnsley East by-election (Lab hold),Barnsley East by-election (Lab hold)
9 Dec,MORI/Times,30%,51%,13%,21
2 Dec,Gallup/Telegraph,22%,59%,12%,37
1 Dec,ICM/Guardian,31%,50%,15%,19
29 Nov,MORI/Euro,30%,52%,13%,22
14 Nov,NOP/Sunday Times,26%,56%,13%,30
11 Nov,MORI/Times,33%,50%,12%,17
5 Nov,Gallup/Telegraph,28%,55%,11%,17
2 Nov,ICM/Guardian,34%,47%,15%,13
1 Nov,MORI/Mail on Sunday,30%,54%,12%,24
28 Oct,MORI/Times,28%,56%,12%,18
21 Oct,MORI,27%,54%,12%,17
17 Oct,NOP/Sunday Times,33%,47%,14%,24
14 Oct,MORI,30%,53%,12%,23
7 Oct,MORI,29%,54%,13%,25
5 Oct,ICM/Guardian,31%,49%,16%,18
4 Oct,Gallup/Telegraph,24%,57%,15%,33
3 Oct,NOP/Sunday Times,25%,57%,13%,32
1 Oct,Gallup/Telegraph,27.5%,52%,15%,24.5
24 Sep,Gallup/Telegraph,27%,54%,13.5%,27
23 Sep,MORI/Times,29%,52%,14%,23
19 Sep,NOP/Sunday Times,31%,50%,14%,19
9 Sep,MORI,28%,56%,12%,28
7 Sep,ICM/Guardian,32%,47%,16%,15
3 Sep,Gallup/Telegraph,25.5%,58.5%,11%,33
25 Aug,MORI/Times,30%,51%,13%,27
15 Aug,NOP/Sunday Times,28%,54%,14%,26
12 Aug,MORI,30%,52%,13%,22
5 Aug,Gallup/Telegraph,25%,59%,11%,34
3 Aug,ICM/Guardian,33%,45%,19%,12
28 Jul,MORI/Times,29%,53%,12%,24
25 Jul,NOP/Sunday Times,29%,51%,16%,22
6 Jul,ICM/Guardian,30%,45%,21%,15
1 Jul,Gallup/Telegraph,26%,54.5%,14.5%,28.5
1 Jul,MORI,32%,52%,12%,20
24 Jun,MORI/Times,31%,52%,12%,21
20 Jun,NOP/Sunday Times,27%,55%,15%,28
10 Jun,MORI,27%,56%,13%,29
6 Jun,ICM/Guardian,30%,46%,19%,16
3 Jun,Gallup/Telegraph,22.5%,57%,16%,34.5
2 Jun,ICM/Guardian,30%,46%,19%,16
30 May,Northern Ireland Forum election[1],Northern Ireland Forum election[1],Northern Ireland Forum election[1],Northern Ireland Forum election[1],Northern Ireland Forum election[1]
26 May,MORI/Times,27%,54%,15%,27
16 May,NOP/Sunday Times,27%,52%,17%,25
13 May,MORI,27%,56%,13%,29
6 May,Gallup/Telegraph,24.5%,55.5%,15.5%,31
5 May,ICM/Guardian,28%,45%,21%,17
3 May,ICM/Sunday Express,26%,52%,15%,26
2 May,Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2],Local elections in England[2]
27 Apr,MORI/Sun,29%,54%,13%,25
25 Apr,NOP/Sunday Times,28%,52%,16%,24
22 Apr,MORI/Times,28%,54%,14%,26
13 Apr,ICM/Guardian,29%,50%,17%,21
11 Apr,South East Staffordshire by-election (Lab gain from Con),South East Staffordshire by-election (Lab gain from Con),South East Staffordshire by-election (Lab gain from Con),South East Staffordshire by-election (Lab gain from Con),South East Staffordshire by-election (Lab gain from Con)
1 Apr,Gallup/Telegraph,26%,55.5%,15.5%,29.5
25 Mar,MORI/Times,28%,57%,13%,29
14 Mar,NOP/Sunday Times,27%,55%,14%,28
11 Mar,MORI,29%,55%,13%,26
4 Mar,Gallup/Telegraph,23%,57.5%,16%,34.5
4 Mar,ICM/Guardian,31%,45%,20%,14
26 Feb,MORI/Times,26%,57%,14%,31
16 Feb,NOP/Sunday Times,25%,54%,16%,29
12 Feb,MORI,26%,57%,14%,31
5 Feb,Gallup/Telegraph,28%,54.5%,14.5%,26.5
4 Feb,ICM/Guardian,31%,47%,19%,16
1 Feb,Hemsworth by-election (Lab hold),Hemsworth by-election (Lab hold),Hemsworth by-election (Lab hold),Hemsworth by-election (Lab hold),Hemsworth by-election (Lab hold)
29 Jan,MORI,28%,54%,15%,26
22 Jan,MORI/Times,29%,55%,13%,26
19 Jan,NOP/Sunday Times,25%,54%,18%,25
17 Jan,NOP,33%,47%,14%,14
8 Jan,Gallup/Telegraph,21%,60.5%,14.5%,39.5
6 Jan,ICM/Guardian,26%,48%,22%,22
3 Jan,NOP/Sunday Times,29%,52%,13%,23
