Date(s) conducted,Pollster,Client,Sample size,Lab,SNP,Con,LD,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Lead
1 May 1997,1997 general election,1997 general election,–,45.6%,22.1%,17.5%,13.0%,23.5
26–27 Apr 1997,System 3,The Herald,1084,50%,26%,14%,9%,25.0
25–27 Apr 1997,ICM,The Scotsman,1000,46%,21%,18%,13%,25.0
24 Apr 1997,NOP,Scot S Times,1000,49%,24%,14%,12%,25.0
19–20 Apr 1997,System 3,The Herald,1080,47%,21%,18%,11%,26.0
18–20 Apr 1997,ICM,The Scotsman,1000,47%,21%,18%,11%,26.0
17 Apr 1997,NOP,Scot S Times,950,47%,28%,15%,8%,19.0
12–14 Apr 1997,System 3,The Herald,1000,52%,24%,13%,9%,28.0
11–13 Apr 1997,ICM,The Scotsman,1000,42%,23%,19%,15%,19.0
5–6 Apr 1997,System 3,The Herald,1081,51%,23%,14%,10%,28.0
2 Apr 1997,NOP,Scot S Times,844,49%,25%,18%,6%,24.0
29–31 Mar 1997,ICM,The Scotsman,1000,47%,22%,20%,9%,25.0
27–30 Mar 1997,System 3,The Herald,1003,53%,26%,12%,9%,27.0
20–24 Mar 1997,System 3,The Herald,1006,52%,20%,17%,9%,32.0
9 Apr 1992,1992 general election,1992 general election,–,39.0%,21.5%,25.6%,13.1%,13.4
