Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
10–14 Dec,MORI,The Times,1967,54%,28%,13%,5%,26
10–12 Dec,ICM,The Guardian,1201,48%,29%,17%,6%,19
25 Nov – 1 Dec,Gallup,The Daily Telegraph,1011,53%,27%,15%,5%,26
25 Nov,Kensington & Chelsea by-election (Con hold)[16],Kensington & Chelsea by-election (Con hold)[16],Kensington & Chelsea by-election (Con hold)[16],Kensington & Chelsea by-election (Con hold)[16],Kensington & Chelsea by-election (Con hold)[16],Kensington & Chelsea by-election (Con hold)[16],Kensington & Chelsea by-election (Con hold)[16],Kensington & Chelsea by-election (Con hold)[16]
19–22 Nov,MORI,The Times,1935,55%,25%,14%,6%,30
12–14 Nov,ICM,The Guardian,1119,44%,34%,15%,7%,10
8–10 Nov,MORI,Daily Mail,1003,50%,32%,12%,7%,18
27 Oct – 2 Nov,Gallup,The Daily Telegraph,1002,52%,28%,14%,6%,24
22–26 Oct,ICM,The Guardian,1084,45%,32%,17%,6%,13
22–25 Oct,MORI,The Times,1965,56%,28%,11%,5%,28
13–14 Oct,MORI,The Sun,1003,52%,31%,13%,7%,21
23–29 Sep,Gallup,The Daily Telegraph,1012,52%,29%,13%,7%,23
24–27 Sep,MORI,The Times,1823,52%,25%,17%,6%,27
23 Sep,Hamilton South by-election and Wigan by-election (both Lab holds)[17][18],Hamilton South by-election and Wigan by-election (both Lab holds)[17][18],Hamilton South by-election and Wigan by-election (both Lab holds)[17][18],Hamilton South by-election and Wigan by-election (both Lab holds)[17][18],Hamilton South by-election and Wigan by-election (both Lab holds)[17][18],Hamilton South by-election and Wigan by-election (both Lab holds)[17][18],Hamilton South by-election and Wigan by-election (both Lab holds)[17][18],Hamilton South by-election and Wigan by-election (both Lab holds)[17][18]
17–19 Sep,ICM,The Guardian,1202,45%,32%,16%,6%,13
9–11 Sep,MORI,Mail on Sunday,1002,49%,32%,13%,6%,17
25 Aug – 1 Sep,Gallup,The Daily Telegraph,1000,52%,27%,13%,7%,25
20–23 Aug,MORI,The Times,1862,49%,27%,17%,7%,22
13–15 Aug,ICM,The Guardian,1204,48%,30%,16%,6%,18
9 Aug,Charles Kennedy is elected leader of the Liberal Democrats[19],Charles Kennedy is elected leader of the Liberal Democrats[19],Charles Kennedy is elected leader of the Liberal Democrats[19],Charles Kennedy is elected leader of the Liberal Democrats[19],Charles Kennedy is elected leader of the Liberal Democrats[19],Charles Kennedy is elected leader of the Liberal Democrats[19],Charles Kennedy is elected leader of the Liberal Democrats[19],Charles Kennedy is elected leader of the Liberal Democrats[19]
28 Jul – 4 Aug,Gallup,The Daily Telegraph,1008,51%,30%,12%,7%,21
23–26 Jul,MORI,The Times,213,51%,28%,14%,7%,23
