Date(s) conducted,Pollster,Client,Sample size,Lab,SNP,Con,LD,SSP,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Lead
7 Jun 2001,2001 general election[45],2001 general election[45],–,43.3%,20.1%,15.6%,16.3%,3.1%,23.2%
4–5 Jun 2001,ICM,The Scotsman,1013,43%,24%,14%,14%,4%,19
24–28 May 2001,System Three,The Herald,1048,47%,26%,13%,11%,3%,21
18–21 May 2001,System Three,The Herald,3019,50%,25%,12%,9%,3%,25
12–13 May 2001,ICM,The Scotsman,1000,44%,25%,16%,12%,–,19
26 Apr – 2 May 2001,System Three,The Herald,1028,47%,27%,12%,9%,–,20
22–28 Mar 2001,System Three,The Herald,1009,52%,25%,12%,8%,–,27
8–9 Mar 2001,ICM,News of the World,1000,46%,22%,18%,11%,–,24
22 Feb – 4 Mar 2001,System Three,The Herald,955,45%,29%,16%,9%,–,16
14–15 Feb 2001,ICM,Scotland on Sunday,1003,42%,22%,16%,10%,–,20
15–31 Jan 2001,System Three,The Herald,1014,46%,28%,13%,11%,–,18
4–9 Jan 2001,System Three,The Herald,1025,46%,28%,13%,9%,–,18
21 Dec 2000,Falkirk West by-election[6],Falkirk West by-election[6],Falkirk West by-election[6],Falkirk West by-election[6],Falkirk West by-election[6],Falkirk West by-election[6],Falkirk West by-election[6],Falkirk West by-election[6],
23–28 Nov 2000,System Three,The Herald,1022,48%,24%,16%,9%,–,24
23 Nov,Glasgow Anniesland by-election[7],Glasgow Anniesland by-election[7],Glasgow Anniesland by-election[7],Glasgow Anniesland by-election[7],Glasgow Anniesland by-election[7],Glasgow Anniesland by-election[7],Glasgow Anniesland by-election[7],Glasgow Anniesland by-election[7],
22–31 Oct 2000,System Three,The Herald,1001,48%,27%,13%,10%,–,21
21 Oct 2000,Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46],Henry McLeish is elected leader of Scottish Labour and First Minister[46]
21–26 Sep 2000,System Three,The Herald,1020,33%,33%,15%,17%,–,Tie
21 Sep 2000,John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47],John Swinney is elected leader of the Scottish National Party[47]
18–20 Sep 2000,ICM,The Scotsman,1000,36%,27%,22%,13%,–,9
18–20 Sep 2000,System Three,The Herald,1027,45%,28%,15%,9%,–,17
27 Jul – 5 Aug 2000,System Three,The Herald,951,46%,26%,15%,9%,–,20
22–28 Jun 2000,System Three,The Herald,1015,39%,31%,17%,11%,–,8
25–31 May 2000,System Three,The Herald,968,48%,24%,14%,10%,–,24
27 Apr – 2 May 2000,System Three,The Herald,999,44%,26%,17%,9%,–,18
23–28 Mar 2000,System Three,The Herald,991,40%,29%,16%,11%,–,11
24–29 Feb 2000,System Three,The Herald,1030,45%,27%,15%,10%,–,18
27 Jan – 2 Feb 2000,System Three,The Herald,1008,49%,24%,14%,11%,–,25
6–13 Jan 2000,System Three,The Herald,978,50%,27%,12%,9%,–,23
23 Sep 1999,Hamilton South by-election[17],Hamilton South by-election[17],Hamilton South by-election[17],Hamilton South by-election[17],Hamilton South by-election[17],Hamilton South by-election[17],Hamilton South by-election[17],Hamilton South by-election[17],Hamilton South by-election[17]
6 May 1999,Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24],Local elections held and Scottish Parliament election[48][24]
6 Nov 1997,Paisley South by-election[31],Paisley South by-election[31],Paisley South by-election[31],Paisley South by-election[31],Paisley South by-election[31],Paisley South by-election[31],Paisley South by-election[31],Paisley South by-election[31],Paisley South by-election[31]
11 Sep 1997,Scottish devolution referendum[33][34],Scottish devolution referendum[33][34],Scottish devolution referendum[33][34],Scottish devolution referendum[33][34],Scottish devolution referendum[33][34],Scottish devolution referendum[33][34],Scottish devolution referendum[33][34],Scottish devolution referendum[33][34],Scottish devolution referendum[33][34]
1 May 1997,1997 general election[49],1997 general election[49],–,45.6%,22.1%,17.5%,13%,,23.5%
