Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,PC,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Lead
7 Jun 2001,2001 general election[45],2001 general election[45],–,48.6%,21%,13.8%,14.3%,27.6%
Mar 2001,NOP,Harlech Television,1003,52%,22%,10%,14%,30
26–31 Oct 2000,NOP,Harlech Television,1000,45%,25%,13%,15%,20
29 Jun – 7 Jul 2000,NOP,Harlech Television,1000,51%,25%,9%,13%,26
23–28 Feb 2000,Beaufort,BBC Wales,1000,50%,20%,12%,16%,30
9 Feb 2000,Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51],Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51],Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51],Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51],Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51],Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51],Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51],Rhodri Morgan is elected leader of Welsh Labour and as First Secretary[51]
3 Feb 2000,Ceredigion by-election[15],Ceredigion by-election[15],Ceredigion by-election[15],Ceredigion by-election[15],Ceredigion by-election[15],Ceredigion by-election[15],Ceredigion by-election[15],Ceredigion by-election[15]
13–18 Jan 2000,NOP,Harlech Television,1002,56%,21%,8%,13%,35
6 May 1999,Local elections held and Welsh Assembly election[52][25],Local elections held and Welsh Assembly election[52][25],Local elections held and Welsh Assembly election[52][25],Local elections held and Welsh Assembly election[52][25],Local elections held and Welsh Assembly election[52][25],Local elections held and Welsh Assembly election[52][25],Local elections held and Welsh Assembly election[52][25],Local elections held and Welsh Assembly election[52][25]
20 Feb 1999,Alun Michael is elected leader of Welsh Labour[53],Alun Michael is elected leader of Welsh Labour[53],Alun Michael is elected leader of Welsh Labour[53],Alun Michael is elected leader of Welsh Labour[53],Alun Michael is elected leader of Welsh Labour[53],Alun Michael is elected leader of Welsh Labour[53],Alun Michael is elected leader of Welsh Labour[53],Alun Michael is elected leader of Welsh Labour[53]
23–28 Feb 1999,Beaufort,BBC Wales,1015,54%,20%,9%,16%,34
Feb 1999,NOP,Harlech Television,?,58%,20%,9%,12%,38%
12–18 Feb 1999,Beaufort,BBC Wales,1002,62%,15%,8%,14%,47%
19 Sep 1998,Ron Davies is elected leader of Welsh Labour[54],Ron Davies is elected leader of Welsh Labour[54],Ron Davies is elected leader of Welsh Labour[54],Ron Davies is elected leader of Welsh Labour[54],Ron Davies is elected leader of Welsh Labour[54],Ron Davies is elected leader of Welsh Labour[54],Ron Davies is elected leader of Welsh Labour[54],Ron Davies is elected leader of Welsh Labour[54]
10–15 Sep 1998,NOP,Harlech Television,1500,58%,11%,8%,21%,37%
4–9 Jul 1998,Beaufort,BBC Wales,1000,62%,16%,8%,13%,46%
18 Sep 1997,Welsh devolution referendum[32],Welsh devolution referendum[32],Welsh devolution referendum[32],Welsh devolution referendum[32],Welsh devolution referendum[32],Welsh devolution referendum[32],Welsh devolution referendum[32],Welsh devolution referendum[32]
1 May 1997,1997 general election[49],1997 general election[49],–,54.7%,19.6%,12.3%,9.9%,35.1
