Date(s) conducted,Pollster,Client,Sample size,Lab,SNP,LD,Con,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
5 May 2005,2005 general election,2005 general election,–,39.5%,17.7%,22.6%,15.8%,4.4%,16.9
31 Mar –  7 Apr 2005,TNS System 3[7],SNP,992,45%,23%,14%,14%,4%,18.0
24 Jan –  5 Apr 2005,MORI[8],STV,934,47%,15%,15%,18%,5%,29.0
23–29 Mar 2005,Scottish Opinion,Daily Record,1045,52%,17%,12%,16%,3% SSP 1% Other 2%,35.0
25 Jan –  24 Mar 2005,YouGov[9],The Daily Telegraph,1945,36%,21%,19%,18%,6%,15.0
13 Mar 2005[e],TNS System 3[7],SNP,Unknown,46%,23%,13%,16%,2%,23.0
8–11 Mar 2005,Scottish Opinion[8],Sunday Mail,504,38%,16%,23%,15%,8%,13.0
10–12 Feb 2005,YouGov[8],Scotland on Sunday,808,33%,20%,20%,19%,8%,13.0
27 Jan –  2 Feb 2005,TNS System 3[10],Sunday Herald,1000,42%,22%,16%,16%,4%,20.0
15–21 Dec 2004,Scottish Opinion[10],Daily Mail,1001,40%,18%,16%,18%,8%,22.0
4 Jun 2004[f],YouGov[11],The Daily Telegraph,Unknown,37%,22%,16%,17%,8%,15.0
9 Dec 2003[e],NFO System 3[12],The Herald,Unknown,42%,24%,12%,17%,5% SSP 4% Other 1%,18.0
Nov 2003,NFO System 3[12],The Herald,Unknown,43%,22%,18%,13%,5% SSP 3% Other 2%,21.0
7 Oct 2003[e],NFO System 3[12],The Herald,Unknown,39%,24%,18%,13%,6% SSP 4% Other 2%,15.0
27 Aug –  2 Sep 2003,NFO System 3[12],The Herald,977,41%,24%,14%,13%,8% SSP 4% Other 4%,17.0
4 Aug 2003[e],NFO System 3[13],The Herald,Unknown,40%,24%,14%,15%,7% SSP 4% Other 3%,16.0
Jul 2003,NFO System 3[13],The Herald,Unknown,40%,20%,17%,14%,9% SSP 6% Other 3%,20.0
Jun 2003,NFO System 3[13],The Herald,Unknown,41%,22%,15%,13%,8% SSP 5% Other 3%,19.0
29 Apr 2003[e],NFO System 3[14],The Herald,Unknown,45%,22%,13%,13%,7% SSP 4% Other 3%,23.0
5 Apr 2003[e],NFO System 3[14],The Herald,Unknown,38%,25%,17%,13%,8% SSP 4% Other 4%,13.0
27 Feb –  5 Mar 2003,NFO System 3[15],The Herald,1033,42%,25%,15%,12%,6% SSP 4% Other 2%,17.0
30 Jan –  6 Feb 2003,NFO System 3[16],The Herald,1009,42%,25%,15%,14%,3% SSP 1% Other 2%,17.0
13 Jan 2003[e],NFO System 3[17],The Herald,Unknown,45%,24%,14%,12%,6% SSP 3% Other 3%,21.0
Dec 2002,NFO System 3[17],The Herald,Unknown,43%,25%,15%,12%,5% SSP 4% Other 1%,18.0
Nov 2002,NFO System 3[17],The Herald,Unknown,45%,22%,16%,13%,5% SSP 3% Other 2%,23.0
Oct 2002,NFO System 3[17],The Herald,Unknown,47%,21%,15%,11%,6% SSP 3% Other 3%,26.0
Sep 2002,NFO System 3[17],The Herald,Unknown,46%,23%,13%,14%,4% SSP 2% Other 2%,23.0
Aug 2002,NFO System 3[17],The Herald,Unknown,49%,21%,10%,13%,7% SSP 5% Other 2%,28.0
Jul 2002,NFO System 3[17],The Herald,Unknown,46%,23%,11%,15%,5% SSP 3% Other 2%,23.0
Jun 2002,NFO System 3[17],The Herald,Unknown,49%,21%,13%,13%,5% SSP 4% Other 1%,28.0
May 2002,NFO System 3[17],The Herald,Unknown,47%,21%,14%,14%,4% SSP 2% Other 2%,26.0
Apr 2002,NFO System 3[17],The Herald,Unknown,41%,26%,15%,14%,3% SSP 2% Other 1%,15.0
Mar 2002,NFO System 3[17],The Herald,Unknown,46%,24%,12%,13%,4% SSP 2% Other 2%,22.0
Feb 2002,NFO System 3[17],The Herald,Unknown,47%,24%,13%,12%,4% SSP 3% Other 1%,23.0
Jan 2002,NFO System 3[17],The Herald,Unknown,46%,23%,12%,15%,5% SSP 3% Other 2%,23.0
Dec 2001,NFO System 3[17],The Herald,Unknown,47%,25%,10%,14%,3% SSP 2% Other 1%,22.0
Nov 2001,NFO System 3[17],The Herald,Unknown,54%,23%,10%,9%,3% SSP 2% Other 1%,31.0
Oct 2001,NFO System 3[17],The Herald,Unknown,52%,20%,11%,13%,4% SSP 3% Other 1%,32.0
Sep 2001,NFO System 3[17],The Herald,Unknown,49%,21%,12%,13%,4% SSP 3% Other 1%,28.0
Aug 2001,NFO System 3[17],The Herald,Unknown,44%,21%,15%,13%,6% SSP 4% Other 2%,23.0
21–27 Jun 2001,NFO System 3[18],The Herald,1028,50%,24%,12%,11%,5% SSP 2% Other 3%,26.0
7 Jun 2001,2001 general election,2001 general election,–,43.9%,20.1%,16.4%,15.6%,4.0%,23.8
