Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,PC,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
6 May 2010,2010 general election,2010 general election,–,36.2%,26.1%,20.1%,11.3%,6.3%,10.1
1–3 May 2010,YouGov[266],ITV Wales,Unknown,35%,27%,23%,10%,5%,8.0
Late Apr 2010,R&MP[267],Western Mail,Unknown,37.5%,23.5%,21%,10.8%,7.2%,14.0
16–19 Apr 2010,YouGov[267],ITV Wales,1070,33%,23%,29%,9%,6%,4.0
Mar 2010,NAW[267],ITV Wales,Unknown,39%,27%,13%,13%,9%,12.0
Mar 2010,YouGov[267],ITV Wales,Unknown,37%,29%,12%,14%,7%,8.0
Jan 2010,YouGov[267],ITV Wales,Unknown,35%,32%,13%,13%,7%,3.0
Nov 2009,YouGov[267],ITV Wales,Unknown,34%,31%,14%,14%,7%,3.0
21–23 Oct 2009,YouGov[266],University of Aberystwyth,1078,34%,31%,12%,15%,7%,3.0
Jul 2009,YouGov[266],IWP-WGC,Unknown,28%,33%,14%,14%,11%,5.0
Mar 2009,Beaufort[266],Plaid Cymru,Unknown,41%,22%,13%,17%,7%,19.0
5 May 2005,2005 general election,2005 general election,–,42.7%,21.4%,18.4%,12.6%,4.9%,16.9
