Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,UKIP,SNP,Grn,BNP,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Others,Lead
29–30 Dec,YouGov[142],The Daily Telegraph,1848,30%,40%,17%,3%,2%[a],3%,3%,1% Rsp on 0% Other on 1%,10
19–20 Dec,ComRes[143],The Independent,1006,29%,38%,19%,4%,3%,3%,2%,1% PC on 1% Other on <1%,9
16–18 Dec,Angus Reid Strategies[144],PoliticalBetting.com,2010,24%,40%,20%,6%,1%,3%,3%,2% PC on 1% Other on 1%,16
15–17 Dec,YouGov[145],The People,2052,28%,40%,18%,5%,2%[a],3%,4%,1% Rsp on 0% Other on 1%,12
11–13 Dec,ICM[146],The Guardian,1009,31%,40%,18%,3%,2%,2%,3%,3% PC on 1% Other on 2%,9
11–13 Dec,Ipsos MORI[147],The Observer,1017,26%,43%,20%,4%,2%,3%,2%,2% PC on 1% Other on 1%,17
10–11 Dec,YouGov[148],The Sunday Times,2044,31%,40%,16%,4%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,9
9–10 Dec,ComRes[149][dead link],The Independent on Sunday,1001,24%,41%,21%,–,–,–,–,14%,17
8–10 Dec,Angus Reid Strategies[150],PoliticalBetting.com,2002,23%,40%,19%,7%,3%,3%,4%,2% PC on 1% Other on 1%,17
4–6 Dec,Populus[151],The Times,1505,30%,38%,20%,4%,3%,3%,2%,1% PC on 1% Other on <1%,8
3–4 Dec,YouGov[152],The Sunday Times,2095,27%,40%,18%,5%,3%[a],3%,3%,1% Rsp on 0% Other on 1%,13
2–3 Dec,ICM[153],The Sunday Telegraph,1001,29%,40%,19%,3%,3%,3%,2%,2% PC on 1% Other on 1%,11
27–29 Nov,ComRes[154],The Independent,1003,27%,37%,20%,6%,3%,4%,1%,3% PC on 1% Other on 2%,10
24–26 Nov,YouGov[155],The Daily Telegraph,2004,29%,39%,19%,4%,3%[a],2%,3%,1% Rsp on 0% Other on 1%,10
20–23 Nov,Angus Reid Strategies[156],PoliticalBetting.com,2004,22%,39%,21%,6%,2%,3%,5%,2% PC on 1% Other on 1%,17
13–15 Nov,Ipsos MORI[157],The Observer,1006,31%,37%,17%,3%,2%,3%,2%,3% PC on 1% Other on 2%,6
13–15 Nov,ICM[158],The Guardian,1010,29%,42%,19%,2%,4%,2%,–,3% PC on 1% Other on 2%,13
12–13 Nov,YouGov[159],The Sunday Times,2026,27%,41%,18%,4%,3%[a],3%,3%,1% Rsp on 0% Other on 1%,14
12 Nov,Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c],Glasgow North East by-election (Lab gain from Spk)[c]
11–12 Nov,ComRes[160],The Independent on Sunday,1007,25%,39%,17%,–,–,–,–,19%,14
6–8 Nov,Populus[161],The Times,1504,29%,39%,18%,4%,2%,4%,2%,2% PC on 1% Other on 1%,10
4–6 Nov,Angus Reid Strategies[permanent dead link],PoliticalBetting.com,2000,24%,38%,20%,–,–,–,–,17%,14
4–5 Nov,YouGov[162],Channel 4 News,1021,27%,41%,17%,–,–,–,–,16%,14
