Date(s) Conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) Conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
18–19 Dec,ICM[permanent dead link],The Guardian,1034,34%,39%,18%,9%,5
17–19 Dec,YouGov,The Daily Telegraph,2060,31%,43%,16%,11%,12
18 Dec,Nick Clegg is elected leader of the Liberal Democrats,Nick Clegg is elected leader of the Liberal Democrats,Nick Clegg is elected leader of the Liberal Democrats,Nick Clegg is elected leader of the Liberal Democrats,Nick Clegg is elected leader of the Liberal Democrats,Nick Clegg is elected leader of the Liberal Democrats,Nick Clegg is elected leader of the Liberal Democrats,Nick Clegg is elected leader of the Liberal Democrats
14–16 Dec,ComRes[permanent dead link],The Independent,1004,30%,41%,16%,12%,11
13–14 Dec,YouGov,The Sunday Times,1481,32%,45%,14%,10%,13
7–9 Dec,Populus,The Times,1506,32%,40%,16%,11%,8
29 Nov – 7 Dec,Ipsos MORI,,1859,35%,42%,14%,9%,7
28–29 Nov,ICM[permanent dead link],News of the World,1011,30%,41%,19%,10%,11
26–29 Nov,YouGov,The Daily Telegraph,4004,32%,43%,14%,11%,11
23–27 Nov,Ipsos MORI,,1933,32%,41%,17%,10%,9
23–25 Nov,ComRes[permanent dead link],The Independent,1009,27%,41%,18%,15%,13
21–22 Nov,ICM[permanent dead link],The Guardian,1005,31%,37%,21%,10%,6
21–22 Nov,YouGov,Channel 4 News,1600,32%,41%,14%,13%,9
14–16 Nov,YouGov,The Sunday Times,1983,35%,41%,13%,11%,6
8–10 Nov,ICM[permanent dead link],Sunday Express,1001,35%,43%,15%,7%,8
2–4 Nov,Populus,The Times,1503,37%,36%,16%,11%,1
31 Oct – 1 Nov,Ipsos MORI,The Sun,1013,35%,40%,13%,12%,5
26–28 Oct,ICM[permanent dead link],The Guardian,1011,35%,40%,18%,7%,5
26–28 Oct,ComRes[permanent dead link],The Independent,1002,33%,42%,15%,10%,8
22–24 Oct,YouGov,The Daily Telegraph,2105,38%,41%,11%,10%,3
18–23 Oct,Ipsos MORI,The Observer,1987,41%,40%,13%,6%,1
15 Oct,Menzies Campbell resigns as leader of the Liberal Democrats,Menzies Campbell resigns as leader of the Liberal Democrats,Menzies Campbell resigns as leader of the Liberal Democrats,Menzies Campbell resigns as leader of the Liberal Democrats,Menzies Campbell resigns as leader of the Liberal Democrats,Menzies Campbell resigns as leader of the Liberal Democrats,Menzies Campbell resigns as leader of the Liberal Democrats,Menzies Campbell resigns as leader of the Liberal Democrats
10–11 Oct,ICM[permanent dead link],The Sunday Telegraph,1010,36%,43%,14%,8%,7
10 Oct,Ipsos MORI,The Sun,1007,38%,41%,11%,10%,3
5–6 Oct,YouGov,The Sunday Times,1757,38%,41%,11%,10%,3
5–7 Oct,Populus,The Times,1008,40%,38%,12%,10%,2
3–4 Oct,YouGov,Channel 4 News,1741,40%,36%,13%,11%,4
3–4 Oct,ICM,The Guardian,,38%,38%,16%,8%,Tie
2–3 Oct,Populus,The Times,1000,39%,36%,15%,10%,3
26–28 Sep,YouGov,The Daily Telegraph,2165,43%,32%,15%,10%,11
27–28 Sep,Ipsos MORI,The Observer,1000,41%,34%,16%,9%,7
26–27 Sep,Populus,The Times,1002,41%,31%,17%,10%,10
20–26 Sep,Ipsos MORI,,1964,44%,31%,15%,10%,13
24–25 Sep,YouGov,Channel 4 News,1341,44%,33%,13%,11%,11
20–22 Sep,Ipsos MORI,The Sun,1009,42%,34%,14%,10%,8
19–21 Sep,YouGov,The Daily Telegraph,2085,39%,33%,16%,12%,6
19–20 Sep,ICM,Sunday Mirror,1029,39%,33%,19%,9%,6
13–16 Sep,ICM,The Guardian,1005,40%,32%,20%,8%,8
13–14 Sep,YouGov,The Sunday Times,1942,39%,34%,15%,12%,5
11–12 Sep,ComRes[permanent dead link],The Independent,1005,37%,34%,15%,14%,3
31 Aug – 2 Sep,Populus,The Times,1506,37%,36%,18%,9%,1
29–31 Aug,YouGov,GMTV,2154,38%,35%,15%,12%,3
29–30 Aug,ComRes[permanent dead link],The Independent,1016,35%,36%,14%,14%,1
23–29 Aug,Ipsos MORI,The Sun,1941,41%,36%,16%,7%,5
25–28 Aug,Populus,Conservative Party,530,37%,36%,16%,10%,1
24–28 Aug,YouGov,The Daily Telegraph,2266,41%,33%,14%,12%,8
22–23 Aug,ICM,The Guardian,1016,39%,34%,18%,9%,5
9–10 Aug,YouGov,The Sunday Times,1966,42%,32%,14%,12%,10
8–10 Aug,ICM,Sunday Mirror,1007,39%,33%,18%,10%,6
8–9 Aug,Ipsos MORI,The Sun,531,38%,33%,15%,14%,5
27–29 Jul,Populus,The Times,1511,39%,33%,15%,13%,6
27–29 Jul,Communicate[permanent dead link],The Independent,1006,37%,34%,16%,14%,3
23–25 Jul,YouGov,The Daily Telegraph,1877,41%,32%,16%,11%,9
20–22 Jul,ICM,The Guardian,1005,38%,32%,20%,10%,6
19–20 Jul,YouGov,The Sunday Times,1664,40%,33%,15%,12%,7
