Date(s) Conducted,Polling Organisation / Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) Conducted,Polling Organisation / Client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Others,Lead
15–18 Dec,ICM/The Guardian,1004,36%,37%,21%,7%,1
13–15 Dec,YouGov/Daily Telegraph,2071,36%,38%,18%,8%,2
9–12 Dec,MORI/The Observer,1000,31%,40%,20%,9%,9
9–11 Dec,Populus/The Times,1521,38%,35%,19%,8%,3
6–8 Dec,YouGov/Sunday Times,2089,36%,37%,18%,8%,1
7–8 Dec,ICM/The Guardian,1003,35%,37%,21%,7%,2
6 Dec,David Cameron is elected leader of the Conservative Party,David Cameron is elected leader of the Conservative Party,David Cameron is elected leader of the Conservative Party,David Cameron is elected leader of the Conservative Party,David Cameron is elected leader of the Conservative Party,David Cameron is elected leader of the Conservative Party,David Cameron is elected leader of the Conservative Party
5–6 Dec,YouGov/Sky News,1612,36%,36%,18%,10%,Tie
22–24 Nov,YouGov/Daily Telegraph,2616,37%,35%,20%,8%,2
17–22 Nov,MORI,1089,42%,32%,19%,7%,10
18–20 Nov,ICM/The Guardian,1013,38%,33%,19%,10%,5
4–6 Nov,Populus/The Times,1512,40%,32%,19%,9%,8
2–3 Nov,ICM/Sunday Telegraph,1010,39%,33%,21%,7%,6
25–27 Oct,YouGov/Daily Telegraph,1947,40%,32%,19%,9%,8
20–25 Oct,MORI,1904,40%,34%,21%,5%,6
19–20 Oct,ICM/The Guardian[permanent dead link],1007,36%,33%,22%,8%,3
7–9 Oct,Populus/The Times,1509,40%,30%,21%,9%,10
5–6 Oct,ICM/News of the World,1015,38%,32%,22%,8%,5
29 Sep,Livingston by-election (Lab hold),Livingston by-election (Lab hold),Livingston by-election (Lab hold),Livingston by-election (Lab hold),Livingston by-election (Lab hold),Livingston by-election (Lab hold),Livingston by-election (Lab hold)
27–29 Sep,YouGov/Daily Telegraph,2183,40%,32%,20%,9%,8
22–26 Sep,MORI,1132,39%,29%,25%,7%,10
16–17 Sep,ICM/The Guardian,1013,40%,31%,21%,8%,9
8–9 Sep,YouGov/Sunday Times,1856,37%,32%,21%,10%,5
2–4 Sep,Populus/The Times,1506,37%,35%,20%,8%,2
19–24 Aug,YouGov/Daily Telegraph,–,40%,33%,20%,7%,7
11–15 Aug,MORI,1191,39%,31%,24%,6%,8
12–14 Aug,ICM/The Guardian,1006,38%,31%,22%,9%,7
26–28 Jul,YouGov/Daily Telegraph,–,40%,31%,21%,8%,9
22–24 Jul,Populus/The Times,1506,40%,28%,22%,10%,12
14–18 Jul,MORI/The Observer,1227,41%,28%,25%,6%,13
15–17 Jul,ICM/The Guardian,1005,39%,31%,23%,7%,8
14 Jul,Cheadle by-election (LD hold),Cheadle by-election (LD hold),Cheadle by-election (LD hold),Cheadle by-election (LD hold),Cheadle by-election (LD hold),Cheadle by-election (LD hold),Cheadle by-election (LD hold)
28–30 Jun,YouGov/Daily Telegraph,3717,38%,33%,20%,9%,5
16–20 Jun,MORI,1227,42%,29%,21%,8%,13
17–19 Jun,ICM/The Guardian,1005,38%,31%,23%,8%,7
24–26 May,YouGov/Daily Telegraph,–,38%,31%,23%,8%,7
19–23 May,MORI/Financial Times,1274,37%,30%,26%,7%,7
5 May 2005,2005 general election,–,36.2%,33.2%,22.7%,7.9%,3.0
