Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Majority
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Majority
6 May 2010,2010 general election,2010 general election,–,258,306,57,29,Hung (Con −20)
5 May 2010,Ipsos MORI[256][d],Evening Standard,1216,261,277,79,15[e],Hung (Con −49)
4–5 May 2010,ComRes[8],ITV News/The Independent,1025,233,299,87,13[f],Hung (Con −27)
29 Apr – 4 May 2010,TNS-BMRB[11],,1864,204,292,114,22[g],Hung (Con −34)
28 Apr – 4 May 2010,Harris Interactive[12],The Metro,786,250,290,78,14[h],Hung (Con −36)
2–3 May 2010,ComRes[13],ITV News/The Independent,1024,251,294,74,13[i],Hung (Con −32)
1–2 May 2010,ComRes[15],ITV News/The Independent,1024,251,294,74,13[j],Hung (Con −32)
30 Apr – 1 May 2010,ComRes[17],Sunday Mirror/The Independent,1019,236,315,69,12[k],Hung (Con −11)
26–27 Apr 2010,ComRes[22],ITV News/The Independent,1006,259,282,77,14[l],Hung (Con −44)
25–26 Apr 2010,ComRes[26],ITV News/The Independent,1024,277,248,93,14[m],Hung (Lab −49)
20–26 Apr 2010,Harris Interactive[28],The Metro,1678,246,259,113,14[n],Hung (Con −67)
24–25 Apr 2010,ComRes[30],ITV News/The Independent,1003,268,238,112,14[o],Hung (Lab −58)
23–24 Apr 2010,ComRes[33],Sunday Mirror/The Independent on Sunday,1006,254,271,93,14[p],Hung (Con −55)
19–20 Apr 2010,Angus Reid Public Opinion[37],PoliticalBetting.com,1953,160,270,186,16[q],Hung (Con −56)
19–20 Apr 2010,ComRes[38],ITV News/The Independent,1015,226,301,91,14[r],Hung (Con −25)
18–19 Apr 2010,ComRes[41],ITV News/The Independent,1012,233,299,86,14[s],Hung (Con −27)
16–19 Apr 2010,Angus Reid Public Opinion[43],PoliticalBetting.com,2004,193,271,153,15[t],Hung (Con −55)
17–18 Apr 2010,ComRes[44],ITV News/The Independent,1003,279,245,94,14[u],Hung (Lab −47)
12–13 Apr 2010,ComRes[52],ITV News/The Independent,1001,270,286,61,15[v],Hung (Con −40)
11–12 Apr 2010,ComRes[55],ITV News/The Independent,1002,283,281,53,15[w],Hung (Lab −43)
10–11 Apr 2010,ComRes[58],ITV News/The Independent,1004,266,295,57,14[x],Hung (Con −31)
26–28 Feb 2010,ComRes[109],The Independent,1005,294,277,46,33,Hung (Lab −32)
26–28 Jan 2010,Ipsos MORI[132],Daily Mirror,1001,268,317,31,16[y],Hung (Con −9)
11–21 Sep 2009,YouGov[257],PoliticsHome,33610,199,360,55,36,Con 70
22 Jul – 4 Aug 2008,YouGov[258],PoliticsHome,34634,160,398,44,48,Con 146
5 May 2005,2005 general election[z],2005 general election[z],–,355,198,62,31,Lab 66
