Date(s) conducted,Pollster,Client,Sample size,Lab,LD,SNP,Con,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
6 May 2010,2010 general election,2010 general election,–,42.0%,18.9%,19.9%,16.7%,2.5%,22.1
3 May 2010,YouGov[262],The Scotsman,1507,37%,22%,21%,17%,3%,15.0
21–27 Apr 2010,TNS-BMRB[262],Scottish Mail on Sunday,1029,44%,16%,23%,13%,4%,21.0
23–26 Apr 2010,Populus[262],The Times,1000,37%,24%,19%,16%,4%,13.0
14–17 Apr 2010,Ipsos MORI[262],STV,1005,36%,20%,26%,14%,4%,10.0
24–26 Mar 2010,YouGov[263],Scottish Mail on Sunday,1008,37%,14%,24%,18%,7%,13.0
3–10 Mar 2010,YouGov[263],The Scottish Sun,720,39%,12%,26%,18%,5%,13.0
24 Feb – 3 Mar 2010,YouGov[263],The Scottish Sun,821,39%,14%,24%,18%,5%,15.0
24–26 Feb 2010,YouGov[263],The Scotsman,1002,35%,15%,24%,20%,6%,11.0
24–26 Feb 2010,YouGov[263],Scottish Mail on Sunday,1002,38%,15%,21%,20%,6%,17.0
17–24 Feb 2010,YouGov[263],The Scottish Sun,667,42%,14%,20%,19%,5%,22.0
18–21 Feb 2010,Ipsos MORI[263],–,1006,34%,12%,32%,17%,5%,2.0
15–17 Feb 2010,YouGov[263],The Scottish Sun,562,37%,15%,21%,21%,6%,16.0
19–23 Nov 2009,Ipsos MORI[263],–,1009,32%,12%,34%,15%,7%,2.0
18–20 Nov 2009,YouGov[263],The Daily Telegraph,1141,39%,12%,24%,18%,7%,15.0
28 Oct – 3 Nov 2009,TNS-BMRB[263],Herald,983,39%,12%,25%,18%,6%,14.0
20–31 Aug 2009,Ipsos MORI[264],Holyrood Magazine,1000,27%,14%,33%,18%,9% Greens on 4%  BNP on 1%  UKIP on 1%  SSP on 1%  Independent on <0.5% Others on <0.5%,6.0
26–28 Aug 2009,YouGov[263],Mail on Sunday,1183,30%,18%,26%,20%,6%,4.0
24–26 Aug 2009,YouGov[263],Daily Mail,1078,33%,16%,25%,19%,7%,8.0
2–4 Jun 2009,YouGov[263],Sunday Times,1048,28%,16%,31%,17%,8%,3.0
22–28 Apr 2009,TNS System 3[263],–,986,36%,9%,19%,32%,4%,4.0
12–13 Mar 2009,YouGov[263],Sunday Times,1380,37%,11%,27%,20%,5%,10.0
29–30 Jan 2009,YouGov[263],Sunday Times,1498,37%,12%,27%,20%,4%,10.0
22–24 Oct 2008,YouGov[263],Sunday Times,1266,38%,11%,29%,20%,2%,9.0
3–5 Sep 2008,YouGov[263],Sunday Times,1355,32%,13%,34%,17%,4%,2.0
8–10 Jul 2008,YouGov[263],The Daily Telegraph,1131,29%,14%,33%,20%,4%,4.0
26–29 Apr 2008,TNS System 3[263],–,1086,39%,10%,31%,17%,3%,8.0
24–28 Apr 2008,YouGov[263],The Daily Telegraph,1175,34%,14%,30%,17%,5%,4.0
2–4 Apr 2008,YouGov[263],The Sun,1070,35%,12%,31%,17%,5%,4.0
3–8 Jan 2008,YouGov[263],Daily Express,1343,36%,12%,30%,18%,4%,6.0
15–17 Aug 2007,YouGov[263],Sunday Times,1118,40%,11%,31%,14%,4%,9.0
10–12 Jan 2007,YouGov[263],Sunday Times,1005,35%,15%,28%,16%,6%,7.0
4–8 Jan 2007,YouGov[263],Channel 4,1061,34%,15%,27%,19%,5%,7.0
17–22 Nov 2006,YouGov[263],The Daily Telegraph,1016,36%,16%,25%,18%,5%,11.0
1 Apr – 30 Jun 2006,Ipsos MORI[265],–,520,36%,17%,24%,17%,6%,12.0
1 Jan – 31 Mar 2006,Ipsos MORI[265],–,526,44%,17%,16%,19%,4%,25.0
5 May 2005,2005 general election,2005 general election,–,39.5%,22.6%,17.7%,15.8%,4.4%,16.9
