Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
20–22 Dec,Populus,2013,35%,37%,12%,9%,3%,4%,2
19–20 Dec,YouGov/Sunday Times,1886,34%,40%,9%,11%,2%,4%,6
18–19 Dec,Populus,2055,32%,40%,12%,8%,3%,5%,8
18–19 Dec,YouGov/The Sun,1784,34%,39%,11%,12%,1%,3%,5
17–18 Dec,YouGov/The Sun,1937,34%,38%,10%,11%,2%,5%,4
16–17 Dec,YouGov/The Sun,1791,33%,41%,10%,11%,2%,3%,8
15–16 Dec,YouGov/The Sun,1666,36%,38%,8%,11%,2%,5%,2
13–15 Dec,ComRes/Independent[permanent dead link],1003,32%,37%,9%,10%,5%,7%,5
13–15 Dec,Populus,2058,33%,40%,13%,8%,2%,4%,7
12–13 Dec,YouGov/Sunday Times,1846,32%,38%,9%,13%,2%,6%,6
11–13 Dec,ComRes/Sunday Mirror/Independent[permanent dead link],2027,29%,36%,8%,18%,4%,5%,7
10–13 Dec,Opinium/The Observer,1949,30%,37%,8%,16%,4%,5%,7
11–12 Dec,Populus Archived 13 December 2013 at the Wayback Machine,2024,33%,38%,13%,9%,3%,4%,5
11–12 Dec,YouGov/The Sun,1902,35%,39%,9%,11%,2%,4%,4
10–11 Dec,YouGov/The Sun,1916,33%,39%,9%,13%,2%,4%,6
9–10 Dec,YouGov/The Sun,1852,34%,39%,9%,12%,2%,4%,5
8–9 Dec,YouGov/The Sun,1766,33%,38%,10%,13%,2%,4%,5
7–9 Dec,Ipsos MORI/Evening Standard,1011,33%,37%,9%,10%,5%,6%,4
6–8 Dec,ICM/The Guardian[permanent dead link],1001,32%,37%,12%,9%,3%,6%,5
6–8 Dec,Populus Archived 13 December 2013 at the Wayback Machine,2027,33%,41%,11%,7%,3%,5%,8
5–6 Dec,YouGov/Sunday Times,1802,34%,39%,10%,11%,3%,3%,5
4–5 Dec,Populus Archived 3 December 2013 at the Wayback Machine,2038,34%,38%,13%,7%,3%,5%,4
4–5 Dec,YouGov/The Sun,1833,29%,41%,9%,14%,2%,5%,12
3–4 Dec,YouGov/The Sun,1943,34%,40%,10%,10%,3%,4%,6
2–3 Dec,YouGov/The Sun,1935,32%,40%,9%,12%,3%,4%,8
1–2 Dec,YouGov/The Sun,1699,32%,38%,10%,12%,2%,6%,6
