Date(s) conducted,Polling organisation/client,Sample size,Theresa May,Jeremy Corbyn,None of these,Not sure,Lead,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,None of these,Not sure,Lead,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1
5-7 Jun,ComRes,2051,48%,39%,—N/a,14%,9,,,
4–6 Jun,Opinium,3002,42%,29%,19%,10%,13,,,
2–3 Jun,Survation,1103,50%,36%,—N/a,15%,14,,,
31 May–2 Jun,ComRes,2038,49%,34%,—N/a,17%,15,,,
30 May–1 Jun,Ipsos MORI,1046,50%,35%,6%,8%,15,,,
30–31 May,Opinium,2006,42%,26%,21%,12%,16,,,
30–31 May,YouGov/The Times,1875,43%,30%,—N/a,27%,13,,,
25–30 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,1199,38%,23%,23%,15%,15,,,
26–27 May,Survation/Good Morning Britain,1009,53%,30%,—N/a,17%,23%,,,
24–26 May,ICM/The Sun on Sunday,2044,48%,27%,—N/a,25%,21%,,,
24–26 May,ComRes Archived 29 May 2017 at the Wayback Machine,2024,51%,30%,—N/a,19%,21%,,,
24–25 May,YouGov/The Times,2052,45%,28%,—N/a,27%,17,,,
23–24 May,Opinium,2002,43%,26%,21%,11%,17,,,
18–22 May,Kantar Public Archived 6 June 2017 at the Wayback Machine,1200,38%,24%,23%,14%,14,,,
16–17 May,YouGov/The Times,1861,46%,23%,—N/a,31%,23%,,,
16–17 May,Opinium,2003,45%,22%,21%,12%,23%,,,
15–17 May,Ipsos MORI,1053,56%,29%,8%,6%,27%,,,
11–15 May,Kantar Public Archived 22 June 2017 at the Wayback Machine,1201,41%,18%,22%,19%,23%,,,
12–13 May,Survation,1016,58%,24%,—N/a,19%,34%,,,
9–12 May,Opinium,2003,45%,19%,24%,12%,26%,,,
9-10 May,YouGov/The Times,1651,49%,21%,—N/a,30%,28%,,,
4–8 May,Kantar Public Archived 14 August 2017 at the Wayback Machine,1201,40%,17%,24%,19%,23%,,,
5–6 May,Survation,1005,60%,21%,—N/a,19%,39%,,,
2-3 May,Opinium,2005,46%,18%,25%,11%,28%,,,
2-3 May,YouGov/The Times,2066,49%,21%,—N/a,29%,28%,,,
20–24 Apr,Kantar Public Archived 8 July 2017 at the Wayback Machine,2003,43%,17%,20%,20%,26%,,,
25–28 Apr,Opinium/The Observer,2007,44%,19%,25%,12%,25%,,,
25–26 Apr,YouGov/The Times,1590,48%,18%,—N/a,33%,30%,,,
21–25 Apr,Ipsos MORI[permanent dead link][17],1004,61%,23%,6%,7%[18],38%,,,
20–24 Apr,Kantar Public Archived 26 April 2017 at the Wayback Machine[19],2003,44%,18%,23%,16%,26%,,,
19–20 Apr,Opinium/Observer,2003,49%,14%,26%,11%,35%,,,
18–19 Apr,YouGov/The Times,1727,54%,15%,—N/a,31%,39%,,,
18 Apr,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election,Prime Minister Theresa May announces her intention to seek a general election
12–13 Apr,YouGov/The Times,2069,50%,14%,—N/a,36%,36%,,,
11–13 Apr,Opinium/Observer,1651,47%,14%,28%,11%,33%,,,
5–6 Apr,YouGov/The Times,1651,49%,16%,—N/a,35%,33%,,,
21–28 Mar,Lord Ashcroft Polls,10153,55%,18%,—N/a,27%,37%,,,
26–27 Mar,YouGov/The Times,1957,51%,13%,—N/a,36%,38%,,,
20–21 Mar,YouGov/The Times,1627,47%,14%,—N/a,39%,33%,,,
14–17 Mar,Opinium/Observer,2007,45%,14%,29%,12%,31%,,,
13–14 Mar,YouGov/The Times,1631,48%,14%,—N/a,38%,34%,,,
27–28 Feb,YouGov/The Times,1666,49%,15%,—N/a,36%,34%,,,
21–22 Feb,YouGov/The Times,2060,49%,15%,—N/a,36%,34%,,,
14–16 Feb,Opinium/Observer,2004,46%,13%,29%,12%,33%,,,
12–13 Feb,YouGov/The Times,2052,49%,15%,—N/a,36%,34%,,,
31 Jan–1 Feb,Opinium/Observer,2005,43%,14%,29%,14%,29%,,,
30–31 Jan,YouGov/The Times,1705,48%,16%,—N/a,36%,32%,,,
23–24 Jan,YouGov/The Times,1643,47%,15%,—N/a,38%,32%,,,
10–12 Jan,Opinium/Observer,2007,40%,16%,28%,15%,24%,,,
9–10 Jan,YouGov/The Times,1660,45%,17%,—N/a,38%,28%,,,
3–4 Jan,YouGov/The Times,1740,47%,14%,—N/a,39%,33%,,,
