Date(s) conducted,Polling organisation/client,Sample size,Theresa May,Jeremy Corbyn,None of these,Not sure,Lead,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,None of these,Not sure,Lead,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1
18–19 Dec,YouGov/The Times,1595,44%,16%,—N/a,41%,28%,,,
13–16 Dec,Opinium/The Observer,2000,42%,16%,28%,13%,26%,,,
4–5 Dec,YouGov/The Times,1667,49%,16%,—N/a,35%,33%,,,
28–29 Nov,YouGov/The Times,1624,45%,18%,—N/a,37%,27%,,,
15–18 Nov,Opinium/The Observer,2005,45%,17%,25%,13%,28%,,,
14–15 Nov,YouGov/The Times,1717,48%,18%,—N/a,34%,30%,,,
1–4 Nov,Opinium/The Observer,2001,45%,16%,25%,13%,29%,,,
31 Oct-1 Nov,YouGov/The Times,1655,47%,17%,—N/a,36%,30%,,,
24–25 Oct,YouGov/The Times,1655,48%,16%,—N/a,36%,32%,,,
11–12 Oct,YouGov/The Times,1669,51%,18%,—N/a,31%,33%,,,
13–14 Sep,YouGov/The Times,1732,50%,18%,—N/a,33%,32%,,,
30–31 Aug,YouGov/The Times,1687,52%,21%,—N/a,27%,31%,,,
22–23 Aug,YouGov/The Times,1660,50%,19%,—N/a,30%,31%,,,
16–17 Aug,YouGov/The Times,1677,51%,19%,—N/a,30%,32%,,,
8–9 Aug,YouGov/The Times,1692,52%,18%,—N/a,29%,34%,,,
1–2 Aug,YouGov/The Times,1722,52%,18%,—N/a,30%,34%,,,
25–26 Jul,YouGov/The Times,1680,52%,18%,—N/a,30%,34%,,,
13 Jul,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom,Theresa May becomes the prime minister of the United Kingdom
23 Jun,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister,The UK votes to leave the EU; David Cameron announces he will resign as prime minister
5 May,"UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections","UK elections, 2016 including the Ogmore and Sheffield Brightside & Hillsborough by-elections"
11–12 Apr,YouGov/The Times,1693,23%,30%,—N/a,46%,7,,,
