Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,SNP,Green,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Lead
18–20 Dec,ICM/The Guardian,1003,39%,34%,10%,7%,4%,3%,3%,5
17–18 Dec,YouGov/The Times,1598,39%,29%,17%,6%,5%[c],3%,1%,10
15–18 Dec,Opinium/Observer,1936,38%,30%,16%,5%,6%,5%,2%,8
12–14 Dec,Ipsos MORI/Evening Standard,1040,38%,31%,9%,9%,5%,6%,2%,7
11–13 Dec,ComRes/Daily Mail,1001,37%,33%,11%,7%,4%,5%,2%,4
9–11 Dec,"ComRes/Independent on Sunday, Sunday Mirror",2049,40%,29%,16%,7%,4%,3%,1%,11
3 Dec,Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold),Oldham West and Royton by-election (Lab hold)
30 Nov – 1 Dec,YouGov/The Times,1657,41%,30%,16%,6%,4%[c],3%,1%,11
20–24 Nov,YouGov,4317,38%,29%,17%,6%,5%[c],3%,1%,9
20–22 Nov,ComRes/Daily Mail,1000,40%,29%,11%,8%,4%,3%,4%,11
18–20 Nov,"ComRes/Independent on Sunday, Sunday Mirror",2067,42%,27%,15%,7%,5%,3%,1%,15
16–17 Nov,Survation/Leave.EU[e],1546,37%,30%,16%,6%,5%,3%,3%,7
14–17 Nov,Ipsos MORI/Evening Standard,1021,41%,34%,7%,7%,6%,4%,-,7
11–17 Nov,BMG Research,1334,37%,30%,15%,7%,4%,4%,2%,7
13–15 Nov,ICM/The Guardian,1006,39%,33%,12%,7%,5%,3%,1%,6
9–11 Nov,Survation/Leave.EU[e],2007,36%,30%,15%,7%,5%,3%,3%,6
22–27 Oct,BMG Research,1467,37%,31%,15%,6%,4%,5%,2%,6
23–25 Oct,ComRes/Daily Mail,1002,38%,33%,10%,8%,3%,3%,4%,5
17–19 Oct,Ipsos MORI/Evening Standard,1021,36%,32%,12%,10%,5%,3%,2%,4
13–16 Oct,Opinium,1934,37%,32%,15%,5%,6%,4%,2%,5
14–15 Oct,"ComRes/Independent on Sunday, Sunday Mirror",2051,42%,29%,13%,7%,5%,3%,1%,13
9–11 Oct,ICM/The Guardian,1002,38%,34%,11%,7%,5%,3%,3%,4
29–30 Sep,YouGov/The Sun,2064,37%,31%,17%,7%,5%[c],2%,1%,6
26–28 Sep,ComRes/Daily Mail,1009,39%,30%,12%,9%,4%,4%,3%,9
