Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,SNP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Lead
8 Jun 2017,2017 general election[g],–,43.5%,41.0%,1.9%,7.6%,3.1%,1.7%,1.2%,2.5
31 May – 6 Jun,YouGov Archived 14 November 2019 at the Wayback Machine,55707,42%,38%,3%,9%,4%,2%,1%,4.0
30 May – 5 Jun,YouGov Archived 14 November 2019 at the Wayback Machine,53241,42%,38%,4%,9%,4%,2%,1%,4.0
29 May – 4 Jun,YouGov Archived 14 November 2019 at the Wayback Machine,53609,42%,38%,3%,9%,4%,2%,2%,4.0
27 May – 2 Jun,YouGov Archived 14 November 2019 at the Wayback Machine,51945,42%,38%,3%,9%,4%,2%,2%,4.0
26 May – 1 Jun,YouGov Archived 14 November 2019 at the Wayback Machine,53000,42%,38%,3%,9%,4%,2%,1%,4.0
25–31 May,YouGov Archived 14 November 2019 at the Wayback Machine,53611,42%,38%,3%,9%,4%,2%,2%,4.0
24–30 May,YouGov Archived 14 November 2019 at the Wayback Machine,53464,41%,38%,4%,9%,4%,2%,2%,3.0
23–29 May,YouGov,"~50,000",42%,38%,4%,9%,7%,7%,7%,4.0
