Date(s) conducted,Pollster/client(s),Sample size,Lab,Con,LD,Grn,UKIP,Chg,Brx,Others,Lead
Date(s) conducted,Pollster/client(s),Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Others,Lead
,,,,,,,,,,,
12 Dec 2019,2019 general election,–,48.1%,32.0%,14.9%,3.1%,–,–,1.4%,0.5%,16.1
4–10 Dec 2019,YouGov (MRP),[38],47%,31%,15%,3%,–,–,2%,1%,16
28 Nov – 2 Dec 2019,YouGov/Queen Mary University of London,1019,47%,30%,15%,4%,–,–,3%,1%,17
30 Oct – 4 Nov 2019,YouGov/Queen Mary University of London,1175,39%,29%,19%,5%,0%,—,6%,—,10
7–10 May 2019,YouGov/Queen Mary University of London,1015,35%,23%,21%,7%,0%,2%,10%,1%,12
3–6 Dec 2018,YouGov/Queen Mary University of London,1020,49%,33%,11%,3%,3%,–,–,1%,16
3–7 Sep 2018,YouGov/Queen Mary University of London,1218,48%,26%,15%,5%,4%,–,–,2%,22
14 Jun 2018,Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8],Lewisham East by-election[8]
3 May 2018,2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18],2018 London local elections[18]
20–24 Apr 2018,YouGov/Queen Mary University of London,1099,52%,31%,10%,3%,2%,–,–,1%,21
12–15 Feb 2018,YouGov/Queen Mary University of London,1155,53%,33%,8%,3%,2%,–,–,0%,20
25–29 Sep 2017,YouGov/Queen Mary University of London,1044,55%,30%,8%,2%,3%,–,–,1%,25
8 Jun 2017,2017 general election,–,54.5%,33.1%,8.8%,1.8%,1.3%,–,–,0.5%,21.4
