Date(s) conducted,Pollster/client(s),Area,Sample size,Con,Lab,LD,SNP,UKIP,Grn,PC,Brx,Chg,Others,Lead
Date(s) conducted,Pollster/client(s),Area,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Others,Lead
12 Dec 2019,2019 general election,UK,–,43.6%,32.1%,11.6%,3.9%,0.1%,2.7%,0.5%,2.0%,0.03%,3.1%,11.5
12 Dec 2019,2019 general election,GB,–,44.7%,33.0%,11.8%,4.0%,0.1%,2.8%,0.5%,2.1%,0.03%,1.0%,11.7
10–11 Dec,Survation,GB,2395,45%,34%,9%,4%,–,3%,1%,3%,–,1%,11
10–11 Dec,Panelbase,GB,3174,43%,34%,11%,4%,–,3%,0%,4%,–,–,9
10–11 Dec,Opinium Archived 11 December 2019 at the Wayback Machine,GB,3005,45%,33%,12%,4%,–,2%,0%,2%,–,1%,12
9–11 Dec,Ipsos MORI/Evening Standard,GB,2213,44%,33%,12%,4%,–,3%,1%,2%,–,6%,11
9–11 Dec,Deltapoll,GB,1818,45%,35%,10%,4%,–,3%,0%,4%,–,0%,10
9–11 Dec,Kantar Archived 11 December 2019 at the Wayback Machine,GB,2815,44%,32%,13%,4%,–,3%,0%,3%,–,1%,12
6–11 Dec,BMG/The Independent,GB,1660,41%,32%,14%,–,–,3%,–,4%,–,6%,9
9–10 Dec,SavantaComRes/The Daily Telegraph,GB,2051,41%,36%,12%,4%,–,2%,–,3%,–,2%,5
8–10 Dec,Number Cruncher Politics/Bloomberg,GB,1009,43%,33%,12%,4%,–,3%,1%,3%,–,1%,10
4–10 Dec,YouGov (MRP),GB,105612,43%,34%,12%,3%,–,3%,0%,3%,–,2%,9
27 Nov – 10 Dec,FocalData (MRP),GB,21213,42%,34%,14%,3%,–,3%,1%,3%,–,1%,8
6–9 Dec,ICM Research/Reuters,GB,2011,42%,36%,12%,3%,0%,2%,0%,3%,–,1%,6
6–8 Dec,SavantaComRes/Remain United[a],GB,6073,43%,36%,12%,4%,–,2%,0%,3%,–,1%,7
5–8 Dec,Qriously,UK,2222,43%,30%,12%,2%,–,4%,–,3%,–,5%,13
5–7 Dec,Survation/Good Morning Britain,UK,1012,45%,31%,11%,3%,–,2%,1%,4%,–,3%,14
5–7 Dec,Deltapoll/The Mail on Sunday,GB,1533,44%,33%,11%,4%,1%,2%,0%,3%,–,1%,11
5–6 Dec,YouGov/The Sunday Times,GB,1680,43%,33%,13%,4%,–,3%,0%,3%,–,1%,10
4–6 Dec,BMG/The Independent,GB,1542,41%,32%,14%,3%,0%,4%,0%,4%,0%,1%,9
4–6 Dec,Opinium/The Observer,GB,2002,46%,31%,13%,4%,–,2%,0%,3%,–,1%,15
4–6 Dec,Panelbase,GB,2033,43%,34%,13%,4%,–,2%,1%,3%,–,0%,9
4–5 Dec,SavantaComRes/The Sunday Telegraph,GB,2034,41%,33%,12%,4%,–,2%,–,3%,–,5%,8
2–5 Dec,SavantaComRes/Remain United[a],GB,2005,42%,36%,11%,3%,–,2%,–,4%,–,1%,6
2–4 Dec,Ipsos MORI/Evening Standard,GB,1545,44%,32%,13%,4%,–,3%,1%,2%,–,1%,12
2–3 Dec,SavantaComRes/The Daily Telegraph,GB,2041,42%,32%,12%,4%,–,2%,–,3%,–,5%,10
2–3 Dec,YouGov/The Times/Sky News,GB,1699,42%,33%,12%,5%,–,4%,0%,4%,–,1%,9
29 Nov – 2 Dec,ICM Research,GB,2029,42%,35%,13%,3%,–,2%,0%,3%,–,1%,7
28 Nov – 2 Dec,Kantar Archived 3 December 2019 at the Wayback Machine,GB,1096,44%,32%,15%,3%,–,3%,1%,2%,–,1%,12
28–30 Nov,Deltapoll/The Mail on Sunday,GB,1528,45%,32%,15%,3%,0%,1%,0%,3%,–,0%,13
26–30 Nov,Survation/Good Morning Britain,UK,1065,42%,33%,11%,3%,–,4%,1%,3%,–,3%,9
28–29 Nov,YouGov/The Sunday Times,GB,1680,43%,34%,13%,4%,–,3%,0%,2%,–,1%,9
27–29 Nov,Opinium/The Observer,GB,2018,46%,31%,13%,4%,–,3%,0%,2%,–,2%,15
27–29 Nov,BMG/The Independent,GB,1663,39%,33%,13%,4%,0%,5%,0%,4%,0%,1%,6
27–28 Nov,SavantaComRes/The Sunday Telegraph,GB,2025,43%,33%,13%,3%,–,3%,–,4%,–,1%,10
27–28 Nov,Panelbase[permanent dead link],GB,2010,42%,34%,13%,3%,–,3%,0%,4%,–,1%,8
25–26 Nov,SavantaComRes/The Daily Telegraph,GB,2034,41%,34%,13%,3%,–,2%,–,5%,–,1%,7
25–26 Nov,YouGov/The Times/Sky News,GB,1678,43%,32%,13%,4%,–,2%,0%,4%,–,1%,11
22–25 Nov,ICM Research,GB,2004,41%,34%,13%,3%,0%,3%,1%,4%,–,1%,7
21–25 Nov,Kantar[permanent dead link],GB,1097,43%,32%,14%,4%,–,4%,0%,3%,–,0%,11
21–23 Nov,Deltapoll/The Mail on Sunday,GB,1519,43%,30%,16%,4%,–,3%,0%,3%,–,0%,13
20–23 Nov,Survation/Good Morning Britain,UK,1010,41%,30%,15%,3%,–,3%,1%,5%,–,4%,11
21–22 Nov,YouGov/The Sunday Times,GB,1677,42%,30%,16%,4%,–,4%,0%,3%,–,1%,12
20–22 Nov,Opinium/The Observer Archived 10 December 2019 at the Wayback Machine,GB,2003,47%,28%,12%,5%,–,3%,0%,3%,–,2%,19
20–22 Nov,Panelbase Archived 25 November 2019 at the Wayback Machine,GB,2028,42%,32%,14%,3%,–,3%,1%,3%,–,2%,10
20–21 Nov,SavantaComRes/Sunday Express,GB,2038,42%,32%,15%,3%,–,2%,0%,5%,–,1%,10
19–21 Nov,BMG,GB,1663,41%,28%,18%,2%,–,5%,0%,3%,–,1%,13
12–20 Nov,YouGov,GB,11277,43%,29%,15%,4%,–,3%,1%,4%,–,2%,14
18–19 Nov,SavantaComRes/The Daily Telegraph,GB,1628,42%,31%,15%,4%,–,2%,0%,5%,–,1%,11
18–19 Nov,YouGov/The Times,GB,1606,42%,30%,15%,4%,–,4%,0%,4%,–,1%,12
15–19 Nov,Ipsos MORI/Evening Standard,GB,1128,44%,28%,16%,4%,–,3%,1%,3%,–,1%,16
17–18 Nov,YouGov,GB,1634,43%,29%,15%,4%,–,3%,1%,3%,–,3%,14
15–18 Nov,ICM Research,GB,2010,42%,32%,13%,3%,–,3%,0%,5%,–,2%,10
14–18 Nov,Kantar Archived 23 November 2019 at the Wayback Machine,GB,1176,45%,27%,16%,4%,–,3%,1%,2%,–,1%,18
14–16 Nov,Survation/Good Morning Britain,UK,1010,42%,28%,13%,3%,–,3%,1%,5%,–,4%,14
14–16 Nov,Deltapoll/The Mail on Sunday,GB,1526,45%,30%,11%,3%,2%,2%,0%,6%,0%,0%,15
14–15 Nov,YouGov/The Sunday Times,GB,1670,45%,28%,15%,4%,–,3%,0%,4%,–,2%,17
13–15 Nov,Opinium/The Observer Archived 28 December 2019 at the Wayback Machine,GB,2008,44%,28%,14%,4%,–,3%,1%,6%,–,0%,16
12–15 Nov,BMG/The Independent,GB,1506,37%,29%,16%,2%,–,5%,0%,9%,–,0%,8
13–14 Nov,SavantaComRes/The Sunday Telegraph,GB,2052,41%,33%,14%,3%,–,2%,0%,5%,–,1%,8
13–14 Nov,Panelbase,GB,1021,43%,30%,15%,4%,–,2%,0%,5%,–,0%,13
11–12 Nov,SavantaComRes/The Daily Telegraph,GB,2022,40%,30%,16%,4%,–,3%,0%,7%,–,1%,10
11–12 Nov,YouGov/The Times/Sky News,GB,1619,42%,28%,15%,3%,–,4%,1%,4%,–,4%,14
8–11 Nov,ICM Research,GB,2035,39%,31%,15%,3%,–,3%,0%,8%,–,2%,8
7–11 Nov,Kantar Archived 13 November 2019 at the Wayback Machine,GB,1165,37%,27%,17%,3%,1%,3%,1%,9%,1%,1%,10
8–10 Nov,ComRes/Britain Elects,GB,2014,37%,29%,17%,4%,–,3%,0%,9%,–,1%,8
6–9 Nov,Deltapoll/The Mail on Sunday,GB,1518,41%,29%,16%,3%,1%,2%,0%,6%,0%,1%,12
7–8 Nov,YouGov/The Sunday Times,GB,1598,39%,26%,17%,4%,–,4%,0%,10%,–,0%,13
6–8 Nov,Survation,UK,2037,35%,29%,17%,4%,–,1%,1%,10%,–,3%,6
6–8 Nov,Opinium/The Observer Archived 18 December 2019 at the Wayback Machine,GB,2001,41%,29%,15%,5%,–,2%,1%,6%,–,0%,12
6–8 Nov,Panelbase[permanent dead link],GB,1046,40%,30%,15%,4%,–,3%,0%,8%,–,0%,10
5–8 Nov,BMG/The Independent,GB,1504,37%,29%,16%,2%,–,7%,0%,9%,–,0%,8
5–6 Nov,YouGov/The Times/Sky,GB,1667,36%,25%,17%,4%,–,5%,1%,11%,–,1%,11
6 Nov,,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins,Parliament dissolved and official campaign period begins
30 Oct – 5 Nov,ComRes/Remain United,GB,6097,36%,29%,17%,4%,0%,3%,1%,11%,0%,0%,7
1–4 Nov,YouGov/The Times,GB,3284,38%,25%,16%,4%,0%,5%,1%,11%,0%,0%,13
1–4 Nov,ICM Research/Reuters,GB,2047,38%,31%,15%,3%,1%,3%,0%,9%,0%,1%,7
31 Oct – 2 Nov,Deltapoll/The Mail on Sunday,GB,1500,40%,28%,14%,3%,1%,2%,1%,11%,0%,0%,12
30 Oct – 1 Nov,Opinium/The Observer Archived 3 November 2019 at the Wayback Machine,GB,2004,42%,26%,16%,4%,0%,2%,1%,9%,0%,1%,16
30 Oct – 1 Nov,YouGov/The Sunday Times,GB,1834,39%,27%,16%,5%,0%,4%,1%,7%,0%,1%,12
30–31 Oct,ComRes/Sunday Express,GB,2032,36%,28%,17%,4%,0%,3%,0%,10%,0%,1%,8
