Date(s) conducted,Pollster/client(s),Area,Sample size,Con,Lab,LD,SNP,PC,UKIP,Grn,Others,Lead
Date(s) conducted,Pollster/client(s),Area,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Others,Lead
19–20 Dec,YouGov/The Times,GB,1610,40%,42%,7%,5%,5%,4%,1%,0%,2
12–14 Dec,ICM/The Sun on Sunday,GB,2004,41%,42%,7%,3%,0%,4%,3%,0%,1
12–14 Dec,Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,GB,2005,39%,41%,7%,4%,1%,6%,2%,1%,2
10–11 Dec,YouGov/The Times,GB,1680,42%,41%,7%,4%,4%,4%,2%,2%[d],1
8–10 Dec,ICM/The Guardian,GB,2006,42%,40%,8%,3%,1%,5%,2%,0%,2
5–8 Dec,BMG/The Independent,GB,1509,37%,40%,9%,3%,1%,5%,3%,1%,3
4–5 Dec,YouGov/The Times,GB,1638,40%,41%,7%,4%,4%,3%,2%,2%[d],1
30 Nov – 1 Dec,Survation/The Mail on Sunday,UK,1003,37%,45%,6%,3%,0%,4%,1%,3%,8
29 Nov – 1 Dec,ICM/The Sun on Sunday,GB,2050,40%,41%,8%,3%,0%,4%,3%,0%,1
24–28 Nov,Ipsos MORI,GB,1003,37%,39%,9%,4%,1%,4%,4%,1%,2
24–26 Nov,ICM/The Guardian,GB,2029,41%,41%,7%,3%,0%,5%,3%,0%,Tie
22–23 Nov,YouGov/The Times,GB,1644,39%,41%,7%,4%,4%,4%,3%,1%,2
19–20 Nov,YouGov/The Times,GB,1677,40%,43%,7%,4%,4%,3%,2%,0%,3
14–20 Nov,Kantar Archived 21 November 2017 at the Wayback Machine,GB,2437,42%,38%,9%,2%,0%,5%,3%,1%,4
14–17 Nov,BMG,GB,1507,40%,41%,8%,–,–,4%,–,7%,1
14–16 Nov,Opinium/The Observer,GB,2032,40%,42%,6%,4%,1%,5%,2%,0%,2
10–12 Nov,ICM/The Guardian,GB,2010,41%,41%,7%,4%,0%,4%,2%,0%,Tie
7–8 Nov,YouGov/The Times,GB,2012,40%,43%,6%,4%,4%,4%,2%,1%,3
27 Oct – 1 Nov,Ipsos MORI,GB,1052,38%,40%,9%,4%,1%,4%,3%,1%,2
23–24 Oct,YouGov/The Times,GB,1637,41%,43%,7%,4%,4%,3%,2%,0%,2
20–23 Oct,ICM/The Guardian,GB,2022,42%,42%,7%,3%,0%,3%,2%,0%,Tie
17–20 Oct,BMG,GB,1506,37%,42%,10%,–,–,4%,–,7%,5
18–19 Oct,YouGov/The Times,GB,1648,40%,42%,8%,4%,4%,4%,2%,1%,2
10–11 Oct,YouGov/The Times,GB,1680,39%,42%,8%,4%,4%,4%,2%,0%,3
6–8 Oct,ICM/The Guardian,GB,2052,41%,41%,7%,4%,1%,4%,2%,0%,Tie
