Date(s) conducted,Pollster,Client,Area,Sample size,Con,Lab,SNP,LD,PC,Grn,Chg,Brx,Others,Majority
Date(s) conducted,Pollster,Client,Area,Sample size,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1,Others,Majority
12 Dec 2019,2019 general election,2019 general election,UK,–,365,202,48,11,4,1,0,0,18 DUP: 8 SF: 7 SDLP: 2 All: 1 Speaker: 1,Con 80
4–11 Dec 2019,Electoral Calculus,,UK,23869,351,224,41,13,2,1,–,0,18 DUP: 10 SF: 6 SDLP: 2 All: 0,Con 52
27 Nov – 10 Dec 2019,FocalData (MRP),,GB,21213,337,235,41,14,3,1,–,0,1,Con 24
4–10 Dec 2019,YouGov (MRP),,GB,105612,339,231,41,15,4,1,–,0,1,Con 28
4–9 Dec 2019,Electoral Calculus,,UK,16344,349,226,41,13,2,1,–,0,18 DUP: 10 SF: 6 SDLP: 2 All: 0,Con 48
6–8 Dec 2019,Savanta ComRes Archived 10 December 2019 at the Wayback Machine,Remain United,UK,17983,340,233,45,11,2,1,–,0,18 DUP: 10 SF: 6 SDLP: 2 All: 0,Con 30
2–7 Dec 2019,Electoral Calculus,,UK,10827,348,225,41,13,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 46
7 Dec 2019,Datapraxis/YouGov[23],,GB,500000,344,221,47,14,4,1,–,—N/a,—N/a,Con 38
28 Nov – 4 Dec 2019,Electoral Calculus,,UK,8410,335,233,44,15,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 20
26 Nov – 3 Dec 2019,Electoral Calculus,,UK,9458,339,229,44,15,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 28
26–30 Nov 2019,Electoral Calculus,,UK,8914,342,225,45,15,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 34
21–28 Nov 2019,Electoral Calculus,,UK,8341,336,231,45,15,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 22
20–26 Nov 2019,Electoral Calculus,,UK,9342,331,235,45,16,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 12
20–26 Nov 2019,YouGov (MRP),,GB,100319,359,211,43,13,4,1,–,0,1,Con 68
19–26 Nov 2019,Electoral Calculus,,UK,8971,342,225,41,19,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 34
26 Nov 2019,Datapraxis/YouGov[24],,GB,?,349,216,49,14,5,1,–,0,0,Con 48
19–23 Nov 2019,Electoral Calculus,,UK,9900,365,202,41,20,3,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 80
12–19 Nov 2019,Electoral Calculus,,UK,10793,361,201,46,19,4,1,–,0,18 DUP: 8 SF: 7 All: 3 SDLP: 0,Con 72
6 Nov 2019,Seat totals at start of campaign period[h],Seat totals at start of campaign period[h],UK,–,298,242,35,20,4,1,5,0,45,Hung (Con –28)
1–25 Sep 2019,Focaldata,The Guardian,UK,46000,364,189,52,23,1,0,–,0,21 DUP: 10 SF: 7 All: 0 SDLP: 0 Others: 4,Con 78
20 Apr 2019[i],Electoral Calculus / ComRes (MRP),The Daily Telegraph,GB,13600,277,290,47,15,3,0,0,–,0,Hung (Lab –36)
22–23 Feb 2019,Electoral Calculus / YouGov (MRP),The Times,GB,?,353,134,46,15,4,1,78,–,1,Con 56
2–7 Feb 2019,YouGov (MRP),,GB,40119,321,250,39,16,4,1,–,–,1,Hung (Con –5)
8 Jun 2017,2017 general election,2017 general election,UK,–,317,262,35,12,4,1,–,–,18 DUP: 10 SF: 7 SDLP: 0 All: 0 Others: 2,Hung (Con –9)
