Date(s) conducted,Pollster/client(s),Sample size,Lab,Con,PC,LD,UKIP,Grn,Chg,Brx,Others,Lead
Date(s) conducted,Pollster/client(s),Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Others,Lead
12 Dec 2019,2019 general election,–,40.9%,36.1%,9.9%,6.0%,-,1.0%,–,5.4%,0.7%,4.8
4-10 Dec 2019,YouGov (MRP),[31],43%,34%,10%,5%,–,1%,–,6%,1%,9
6–9 Dec 2019,YouGov/ITV Cymru Wales/Cardiff University,1020,40%,37%,10%,6%,–,1%,–,5%,1%,3
22–25 Nov 2019,YouGov/ITV Cymru Wales/Cardiff University,1116,38%,32%,11%,9%,–,1%,–,8%,1%,6
31 Oct–4 Nov 2019,YouGov/ITV Cymru Wales/Cardiff University,1136,29%,28%,12%,12%,0%,3%,0%,15%,1%,1
10–14 Oct 2019,YouGov/ITV Cymru Wales/Cardiff University,1071,25%,29%,12%,16%,0%,4%,0%,14%,1%,4
1 Aug 2019,Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8],Brecon and Radnorshire by-election[8]
23–28 July 2019,YouGov/ITV Cymru Wales/Cardiff University,1071,22%,24%,15%,16%,–,3%,–,18%,1%,2
16–20 May 2019,YouGov/ITV Cymru Wales/Cardiff University,1009,25%,17%,13%,12%,1%,5%,2%,23%,2%,2
2–5 Apr 2019,YouGov/ITV Cymru Wales/Cardiff University,1025,33%,26%,15%,7%,3%,2%,9%,4%,1%,7
4 Apr 2019,Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8],Newport West by-election[8]
7–23 Feb 2019,ICM/BBC Wales,1000,42%,33%,13%,6%,3%,1%,–,–,2%,9
19–22 Feb 2019,YouGov/ITV Cymru Wales/Cardiff University,1025,35%,29%,14%,8%,6%,3%,–,–,4%,6
7–14 Dec 2018,Sky Data/Cardiff University,1014,45%,32%,14%,3%,4%,2%,–,–,1%,13
6–13 Dec 2018,Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33],Mark Drakeford is elected leader of Welsh Labour and becomes First Minister[32][33]
4–7 Dec 2018,YouGov/ITV Cymru Wales/Cardiff University,1024,43%,31%,13%,6%,3%,3%,–,–,1%,12
30 Oct–2 Nov 2018,YouGov/ITV Cymru Wales/Cardiff University,1031,42%,33%,10%,7%,4%,2%,–,–,1%,9
20 Oct–2 Nov 2018,Survation/Channel 4,1177,47%,30%,13%,6%,3%,2%,–,–,0%,17
28 Sep 2018,Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16],Adam Price is elected leader of Plaid Cymru[16]
6 Sep 2018,Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34],Paul Davies is elected leader of the Welsh Conservatives[34]
28 Jun–2 Jul 2018,YouGov/ITV Cymru Wales/Cardiff University,1031,44%,31%,13%,5%,3%,2%,–,–,1%,13
12–15 Mar 2018,YouGov/ITV Cymru Wales/Cardiff University,1015,46%,33%,11%,4%,4%,2%,–,–,1%,13
8–25 Feb 2018,ICM/BBC Wales,1001,49%,32%,11%,5%,2%,1%,–,–,0%,17
21–24 Nov 2017,YouGov/ITV Cymru Wales/Cardiff University,1016,47%,31%,11%,5%,3%,2%,–,–,1%,16
