Dates conducted,Pollster,Client,Sample size,Area,Con,Lab,SNP,LD,PC,Grn,Ref,Others,Majority
Dates conducted,Pollster,Client,Sample size,Area,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Others,Majority
4 Jul 2024,2024 general election,–,–,UK,121,412[i],9,72,4,4,5,23,Lab 174
15 Jun – 3 Jul 2024,Survation (MRP),,36177,GB,64,475[i],13,60,4,3,13,0,Lab 318
28 Jun – 2 Jul 2024,Techne (MRP),The Independent,5503,GB,82,461,19,55,0,3,7,23,Lab 272
19 Jun – 2 Jul 2024,YouGov (MRP),Sky News,47751,GB,102,431,18,72,3,2,3,0,Lab 212
24 Jun – 1 Jul 2024,More in Common (MRP),The News Agents,13556,GB,126,430,16,52,2,1,2,2,Lab 210
15 Jun – 1 Jul 2024,Survation (MRP),,34558,GB,64,484[i],10,61,3,3,7,0,Lab 318
10 Jun – 1 Jul 2024,Focaldata (MRP),,36726,GB,108,444,15,57,2,1,2,19[j],Lab 238
15–27 Jun 2024,Survation (MRP),,23364,GB,85,470[i],12,56,3,2,4,0,Lab 290
7–25 Jun 2024,JL Partners (SRP),The Sunday Times,13584,GB,105,450,15,55,3,1,2,19[j],Lab 250
14–24 Jun 2024,Find Out Now/Electoral Calculus (MRP),Daily Mirror,19993,GB,60,450[i],24,71,4,4,18,1[k],Lab 250
30 May – 21 Jun 2024,We Think (MRP),The Economist,18595,GB,76,465,29,52,3,3,3,19[j],Lab 280
4–20 Jun 2024,Focaldata (MRP),,24536,GB,110,450,16,50,2,1,1,19[j],Lab 250
11–18 Jun 2024,YouGov (MRP),Sky News,39979,GB,108,425,20,67,4,2,5,0,Lab 200
7–18 Jun 2024,Savanta (MRP),The Telegraph,17812,GB,53,516,8,50,4,0,0,0,Lab 382
22 May – 17 Jun 2024,More in Common (MRP),The News Agents,10850,GB,155,406,18,49,2,1,0,0,Lab 162
7–12 Jun 2024,Ipsos (MRP),,19689,GB,115,453,15,38,4,3,3,0,Lab 256
31 May – 13 Jun 2024,Survation (MRP),Best for Britain,42269,GB,72,456,37,56,2,1,7,0,Lab 262
22 May – 2 Jun 2024,Survation (MRP),Best for Britain,30044,GB,71,487,26,43,2,0,3,0,Lab 324
24 May – 1 Jun 2024,YouGov (MRP),Sky News,58875,GB,140,422,17,48,2,2,0,0,Lab 194
9 Apr – 29 May 2024,More in Common (MRP),,15000,GB,180,382,35,30,3,1,0,0,Lab 114
20–27 May 2024,Find Out Now/Electoral Calculus (MRP – with tactical voting),Daily Mail/GB News,10390,GB,66,476,26,59,3,2,0,0,Lab 302
20–27 May 2024,Find Out Now/Electoral Calculus (MRP – without tactical voting),Daily Mail/GB News,10390,GB,72,493,22,39,4,2,0,0,Lab 336
7–27 Mar 2024,YouGov (MRP),,18761,GB,155,403,19,49,4,1,0,0,Lab 156
8–22 Mar 2024,Survation (MRP),Best for Britain,15029,GB,98,468,41,22,2,0,0,0,Lab 286
24 Jan – 12 Feb 2024,Find Out Now/Electoral Calculus (MRP),The Mirror,18151,GB,80,452,40,53,4,2,0,1,Lab 254
12 Dec – 4 Jan 2024,YouGov (MRP),Conservative Britain Alliance[9],14110,GB,169,385,25,48,3,1,0,0,Lab 120
