Parties,Parties,First forecast 3:37 am[72],First forecast 3:37 am[72],Second forecast 5:24 am[73],Second forecast 5:24 am[73],Third forecast 7:47 am[74],Third forecast 7:47 am[74]
Parties,Parties.1,Seats,Change,Seats,Change,Seats,Change
,Labour Party[r],405,204,408,207,413,212
,Conservative Party,154,218,136,236,122,250
,Liberal Democrats,56,48,66,58,71,63
,Scottish National Party,6,42,8,40,10,38
,Plaid Cymru,4,2,4,2,4,2
,Reform UK,4,4,4,4,4,4
,Green Party,2,1,2,1,4,3
,Others[s],19,1,22,4,22,4
Projected result,Projected result,Labour majority of 160,Labour majority of 160,Labour majority of 166,Labour majority of 166,Labour majority of 176,Labour majority of 176
