Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
Dates conducted,Pollster,Client,Area,Sample size,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Others,Lead
4 Jul 2024,2024 general election,–,UK,–,23.7%,33.7%,12.2%,2.5%,6.8%,14.3%,0.7%,6.1%,10.0
4 Jul 2024,2024 general election,–,GB,–,24.4%,34.7%,12.5%,2.5%,6.9%,14.7%,0.7%,3.7%,10.3
3 Jul,Number Cruncher Politics,,GB,2497,23%,41%,11%,2%,7%,13%,1%,2%,18
2–3 Jul,JL Partners,The Rest Is Politics,GB,2005,23%,38%,13%,3%,5%,17%,0%,3%,15
2–3 Jul,Savanta,,UK,2101,20%,39%,10%,2%,5%,17%,–,7%,19
2–3 Jul,We Think,,GB,1210,23%,41%,11%,2%,7%,15%,–,2%,18
1–3 Jul,Survation,Good Morning Britain,GB,1679,20%,38%,12%,3%,7%,17%,1%,2%,18
1–3 Jul,Norstat,,GB,3134,24%,37%,11%,4%,6%,16%,1%,1%,13
1–3 Jul,Opinium,,GB,2219,21%,41%,11%,2%,7%,17%,0%,1%,20
1–3 Jul,Ipsos,,GB,2076,19%,37%,11%,5%,9%,15%,1%,4%,18
29 Jun – 3 Jul,Deltapoll,,GB,1737,22%,39%,10%,2%,7%,17%,1%,2%,17
2 Jul,PeoplePolling,GB News,GB,1260,16%,36%,10%,4%,9%,20%,–,5%,16
1–2 Jul,Whitestone Insight,Daily Express/Daily Mirror,GB,2008,21%,38%,10%,3%,7%,18%,1%,2% Workers Party of Britain on 0% SDP on 0% Other on 2%,17
30 Jun – 2 Jul,BMG,The i,GB,1854,22%,39%,11%,3%,7%,16%,0%,3%,17
28 Jun – 2 Jul,Techne Archived 12 January 2025 at the Wayback Machine,,GB,5503,21%,40%,11%,3%,6%,16%,–,3%,19
28 Jun – 2 Jul,Redfield & Wilton,,GB,20000,22%,41%,10%,3%,6%,16%,0%,2% Workers Party of Britain on 1% Alba Party on 0% Other on 1%,19
26 Jun – 2 Jul,Survation,Good Morning Britain,UK,1022,18%,38%,11%,3%,7%,17%,0%,5%,20
19 Jun – 2 Jul,YouGov (MRP),,GB,47751,22%,39%,12%,3%,7%,15%,1%,2%,17
28 Jun – 1 Jul,Verian,,GB,2135,21%,36%,13%,3%,7%,16%,1%,2%,15
28 Jun – 1 Jul,JL Partners,The Rest Is Politics,GB,2028,24%,39%,10%,4%,5%,16%,1%,1%,15
27 Jun – 1 Jul,Lord Ashcroft,,GB,5183,19%,38%,11%,3%,8%,18%,–,3%,19
24 Jun – 1 Jul,More in Common (MRP),The News Agents,GB,13556,24%,40%,11%,2%,6%,14%,–,3%,16
15 Jun – 1 Jul,Survation (MRP),,GB,34558,23%,42%,11%,2%,5%,11%,1%,3%,19
10 Jun – 1 Jul,Focaldata (MRP),,GB,36726,23%,40%,12%,3%,5%,16%,1%,1%,19
28–30 Jun,Savanta,The Telegraph,UK,2287,24%,39%,10%,3%,4%,13%,–,7%,17
28–30 Jun,More in Common,,GB,4525,24%,39%,12%,3%,5%,15%,0%,2%,15
27–29 Jun,Deltapoll,Mail on Sunday,GB,1645,21%,42%,11%,3%,4%,16%,1%,2%,21
27–28 Jun,We Think,,GB,1210,20%,42%,10%,3%,7%,16%,–,2%,22
26–28 Jun,Savanta,The Telegraph,UK,2092,21%,38%,11%,2%,6%,14%,–,7%,17
26–28 Jun,Opinium,The Observer,GB,1503,20%,40%,13%,3%,6%,17%,1%,1%,20
26–28 Jun,More in Common,,GB,3361,24%,39%,13%,3%,5%,13%,1%,2%,15
26–27 Jun,Whitestone Insight,Daily Express/Daily Mirror,GB,2012,18%,38%,11%,2%,7%,21%,1%,2% Workers Party of Britain on 0% SDP on 0% Other on 2%,17
26–27 Jun,Techne Archived 12 January 2025 at the Wayback Machine,,GB,1643,19%,41%,12%,3%,5%,17%,–,3%,22
26–27 Jun,Redfield & Wilton,,GB,5000,19%,42%,11%,3%,5%,18%,0%,2% Workers Party of Britain on 1% Alba Party on 0% Other on 1%,23
25–27 Jun,YouGov,,GB,4110,20%,37%,13%,3%,7%,17%,1%,3%,17
15–27 Jun,Survation (MRP),,GB,23364,25%,42%,11%,2%,5%,11%,1%,3%,17
