Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Brx,PC,Others,Lead
Dates conducted,Pollster,Client,Area,Sample size,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Others,Lead
,,,,,,,,,,,,,
26–30 Dec,Deltapoll,Daily Mirror,GB,1608,43%,38%,4%,5%,5%,3%,0%,3% UKIP on 2% Other on 1%,5
4–29 Dec,Focaldata (MRP),,GB,22186,36%,38%,9%,4%,7%,4%,1%,2%,2
22 Dec,Survation,,UK,1011,39%,38%,8%,5%,4%,1%,0%,6%,1
21–22 Dec,YouGov,The Times,GB,1713,37%,41%,5%,5%,5%,4%,1%,1%,4
18–21 Dec,Savanta ComRes Archived 9 January 2021 at the Wayback Machine[47],Daily Express,UK,1433,41%,39%,8%,5%,4%,2%,1%,1%,2
16–17 Dec,Opinium,The Observer,UK,2001,39%,39%,6%,5%,4%,—,—,6% UKIP on 3% Other on 3%,Tie
15–16 Dec,YouGov,The Times,GB,1898,39%,37%,6%,5%,6%,4%,1%,2%,2
10–14 Dec,Kantar Public,,GB,1137,38%,37%,10%,5%,3%,3%,1%,2% UKIP on 1% Other on 1%,1
11–13 Dec,Savanta ComRes Archived 19 December 2020 at the Wayback Machine[48],,UK,1295,38%,37%,8%,5%,5%,4%,0%,3%,1
4–10 Dec,Ipsos,Evening Standard,GB,1027,41%,41%,6%,5%,5%,0%,1%,1% UKIP on 0% Other on 1%,Tie
4–10 Dec,Survation,,UK,3452,39%,37%,8%,5%,5%,1%,0%,5%,2
8–9 Dec,YouGov,The Times,GB,1699,37%,37%,8%,5%,6%,5%,1%,1%,Tie
27 Nov – 8 Dec,Opinium,The Observer,UK,6949,40%,38%,6%,5%,4%,0%,1%,4% UKIP on 2% Other on 2%,2
3–4 Dec,Opinium,The Observer,UK,2002,38%,40%,6%,6%,3%,—,1%,7% UKIP on 3% Other on 4%,2
2–3 Dec,YouGov,The Times,GB,1706,38%,38%,6%,5%,5%,3%,1%,3%,Tie
2 Dec,Redfield & Wilton,,GB,2000,40%,37%,9%,5%,6%,—,1%,3%,3
27–29 Nov,Savanta ComRes Archived 2 December 2020 at the Wayback Machine[49],,UK,1428,39%,38%,8%,5%,3%,3%,1%,4%,1
26–28 Nov,Deltapoll,Daily Mail,GB,1525,37%,38%,9%,4%,4%,3%,1%,4% UKIP on 4% Other on 0%,1
20–28 Nov,Number Cruncher Politics,,GB,1001,39%,37%,7%,5%,5%,4%,1%,1%,2
26–27 Nov,YouGov,The Times,GB,1696,37%,40%,5%,6%,5%,5%,1%,2%,3
20–22 Nov,Savanta ComRes Archived 27 November 2020 at the Wayback Machine[50],,UK,1272,39%,37%,7%,5%,4%,3%,1%,4%,2
19–20 Nov,Opinium,The Observer,UK,2001,41%,38%,6%,6%,4%,—,1%,4% UKIP on 2% Other on 2%,3
19 Nov,Redfield & Wilton,,GB,2500,40%,39%,8%,5%,4%,—,0%,4%,1
17–18 Nov,YouGov,The Times,GB,1700,38%,37%,7%,6%,6%,4%,1%,2%,1
13–15 Nov,Savanta ComRes Archived 21 November 2020 at the Wayback Machine[51],,UK,2075,41%,38%,5%,5%,4%,2%,0%,4%,3
11–12 Nov,YouGov,The Times,GB,1632,38%,40%,5%,5%,5%,4%,1%,1%,2
11 Nov,Redfield & Wilton,,GB,2500,40%,40%,7%,5%,5%,—,0%,3%,Tie
6–9 Nov,Savanta ComRes Archived 12 November 2020 at the Wayback Machine[52],,UK,2130,40%,36%,8%,5%,5%,2%,0%,3%,4
5–9 Nov,Kantar Public,,GB,1141,40%,36%,8%,5%,5%,2%,0%,2% UKIP on 1% Other on 1%,4
5–6 Nov,Opinium,The Observer,UK,2003,38%,42%,7%,5%,3%,—,1%,5% UKIP on 2% Other on 3%,4
5–6 Nov,Survation,,UK,1034,39%,37%,9%,5%,4%,2%,0%,4%,2
4–5 Nov,YouGov,The Times,GB,1665,35%,40%,7%,5%,4%,6%,1%,2%,5
30 Oct – 2 Nov,Savanta ComRes Archived 21 November 2020 at the Wayback Machine[53],,UK,2126,40%,40%,7%,5%,3%,2%,0%,2%,Tie
28–29 Oct,YouGov,The Times,GB,1658,38%,38%,6%,5%,5%,4%,1%,2%,Tie
28 Oct,Redfield & Wilton,,GB,3000,39%,41%,7%,4%,4%,—,0%,4%,2
22–28 Oct,Ipsos,Evening Standard,GB,1007,37%,42%,8%,6%,5%,1%,1%,1%,5
23–26 Oct,Savanta ComRes Archived 2 November 2020 at the Wayback Machine[54],,UK,2111,42%,39%,7%,4%,3%,2%,0%,2%,3
22–24 Oct,Deltapoll,The Mail on Sunday,GB,1589,42%,39%,7%,3%,3%,3%,0%,4% UKIP on 2% Other on 2%,3
22–23 Oct,Opinium,The Observer,UK,2002,38%,40%,6%,5%,5%,—,1%,5% UKIP on 2% Other on 3%,2
21–22 Oct,YouGov,The Times,GB,1665,40%,39%,7%,5%,5%,3%,1%,2%,1
21 Oct,Redfield & Wilton,,GB,3000,40%,40%,7%,5%,4%,—,0%,3%,Tie
16–18 Oct,Savanta ComRes,,UK,2274,42%,36%,8%,4%,3%,2%,1%,4%,6
9–17 Oct,Number Cruncher Politics,Peston,GB,2088,41%,38%,5%,5%,6%,4%,0%,1%,3
14–15 Oct,YouGov,The Times,GB,1675,39%,38%,6%,5%,6%,5%,1%,1%,1
9–11 Oct,Savanta ComRes,,UK,2123,39%,39%,7%,5%,4%,3%,1%,3%,Tie
8–9 Oct,Opinium,The Observer,UK,2001,40%,40%,6%,6%,3%,—,1%,5% UKIP on 3% Other on 2%,Tie
6–7 Oct,Redfield & Wilton,,GB,3000,41%,39%,8%,4%,4%,—,0%,3%,2
6–7 Oct,YouGov,The Times,GB,1673,41%,38%,5%,5%,6%,3%,1%,1%,3
5–6 Oct,Survation,,UK,1022,41%,37%,7%,4%,4%,1%,1%,5%,4
2–4 Oct,Savanta ComRes,,UK,2081,42%,39%,7%,4%,3%,2%,1%,2%,3
30 Sep – 1 Oct,Redfield & Wilton,,GB,4000,39%,39%,8%,5%,5%,—,0%,3%,Tie
29–30 Sep,YouGov,The Times,GB,1700,39%,39%,6%,5%,5%,4%,1%,1%,Tie
25–28 Sep,Savanta ComRes,,UK,2112,41%,38%,8%,5%,3%,2%,0%,2%,3
24–25 Sep,Deltapoll,The Mail on Sunday,GB,1583,42%,38%,6%,5%,4%,3%,0%,2% UKIP on 2% Other on 0%,4
23–25 Sep,Opinium,The Observer,UK,2002,39%,42%,5%,6%,4%,—,1%,3% UKIP on 1% Other on 2%,3
23–24 Sep,YouGov,The Times,GB,1623,41%,38%,6%,4%,5%,3%,1%,2%,3
22–23 Sep,Redfield & Wilton,,GB,2500,40%,40%,7%,4%,5%,—,0%,3%,Tie
17–21 Sep,Kantar Public,,GB,1125,40%,38%,9%,4%,4%,3%,1%,6% UKIP on 2% Other on 1%,2
18–20 Sep,Savanta ComRes,,UK,2109,40%,37%,8%,5%,3%,3%,0%,4%,3
11–18 Sep,Ipsos,Evening Standard,GB,1013,40%,37%,8%,7%,5%,0%,0%,2% UKIP on 1% Other on 1%,3
16–17 Sep,YouGov,The Times,GB,1618,40%,40%,6%,4%,5%,3%,1%,1%,Tie
15–16 Sep,Survation,,UK,1003,40%,38%,7%,5%,4%,1%,1%,4%,2
15–16 Sep,Redfield & Wilton,,GB,2500,41%,39%,8%,5%,5%,—,0%,3%,2
9–11 Sep,Opinium,The Observer,GB,2001,42%,39%,6%,5%,4%,—,1%,2% UKIP on 1% Other on 1%,3
8–9 Sep,YouGov,The Times,GB,1615,42%,37%,6%,5%,4%,3%,1%,1%,5
4–8 Sep,Number Cruncher Politics,Bloomberg,GB,1001,42%,38%,6%,5%,5%,2%,0%,2%,4
3–4 Sep,YouGov,The Times,GB,1633,43%,37%,6%,6%,4%,3%,1%,1%,6
2–4 Sep,Survation,,UK,1047,40%,38%,8%,5%,4%,1%,1%,3%,2
1–2 Sep,Redfield & Wilton,,GB,2500,43%,37%,8%,4%,4%,—,0%,3%,6
26–28 Aug,Opinium,The Observer,GB,2002,40%,40%,6%,5%,3%,—,0%,2% UKIP on 2%,Tie
27 Aug,Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55],Ed Davey is elected leader of the Liberal Democrats[55]
24–25 Aug,YouGov,The Times,GB,1669,43%,36%,6%,5%,4%,3%,1%,1%,7
24 Aug,Redfield & Wilton,,GB,2000,42%,37%,9%,4%,5%,—,0%,3%,5
