Dates conducted,Pollster,Client,Area,Sample size,Lab,Con,LD,SNP,Grn,Ref,PC,Others,Lead
Dates conducted,Pollster,Client,Area,Sample size,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1,Others,Lead
20–29 Jun 2024,More in Common,Community Exchange Hub,GB,1417.0,57%,7%,6%,1%,10%,6%,0%,12%,47.0
24 May – 3 Jun 2024,Savanta,Hyphen,UK,2862.0,63%,12%,12%,1%,7%,1%,0%,3%,51.0
16 Feb – 13 Mar 2024,JL Partners Archived 10 May 2024 at the Wayback Machine,Henry Jackson Society,UK,1000.0,61%,12%,9%,1%,9%,—,—,5%,49.0
,,,,,,,,,,,,,
18 Jan – 3 Feb 2024,Survation,Labour Muslim Network,UK,683.0,60%,8%,9%,4%,14%,—,—,5%,46.0
27 Oct – 3 Nov 2023,Savanta Archived 6 May 2024 at the Wayback Machine,,UK,1023.0,64%,19%,9%,1%,5%,1%,0%,1%,45.0
12 Dec 2019,,,,,,,,,,,,,
12 Dec 2019,2019 election (JL Partners)[dead link],2019 election (JL Partners)[dead link],UK,1000.0,72%,17%,7%,0%,3%,—,—,0%,55.0
12 Dec 2019,2019 election (Survation),2019 election (Survation),UK,504.0,86%,9%,1%,1%,3%,—,—,0%,77.0
12 Dec 2019,2019 election (Savanta) Archived 6 May 2024 at the Wayback Machine,2019 election (Savanta) Archived 6 May 2024 at the Wayback Machine,UK,1023.0,67%,25%,5%,1%,—,—,—,1%,42.0
