country,country_label,election_year,election_label,dataset_split,party,poll_date,pct,rolling_avg,momentum_1st_diff,momentum_2nd_diff,model_included,actual_pct,is_winner,n_poll_observations,poll_std
australia,Australia,2010,Australia 2010,development,ALP (2PP),2007-11-22,52.000000,52.000000,,,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-01-20,58.000000,55.000000,6.000000,,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-02-17,57.000000,55.666667,-1.000000,-7.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-03-02,63.000000,57.500000,6.000000,7.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-03-16,59.000000,57.800000,-4.000000,-10.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-04-06,59.000000,59.200000,0.000000,4.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-04-20,61.000000,59.800000,2.000000,2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-05-04,57.000000,59.800000,-4.000000,-6.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-05-18,57.000000,58.600000,0.000000,4.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-06-01,57.000000,58.200000,0.000000,0.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-06-15,59.000000,58.200000,2.000000,2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-06-29,55.000000,57.000000,-4.000000,-6.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-07-13,55.000000,56.600000,0.000000,4.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-07-27,57.000000,56.600000,2.000000,2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-08-10,57.000000,56.600000,0.000000,-2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-08-24,56.000000,56.000000,-1.000000,-1.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-09-07,56.000000,56.200000,0.000000,1.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-09-21,55.000000,56.200000,-1.000000,-1.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-10-12,55.000000,55.800000,0.000000,1.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-10-26,54.000000,55.200000,-1.000000,-1.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-11-09,55.000000,55.000000,1.000000,2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-11-23,55.000000,54.800000,0.000000,-1.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2008-12-07,59.000000,55.600000,4.000000,4.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-01-18,54.000000,55.400000,-5.000000,-9.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-02-08,58.000000,56.200000,4.000000,9.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-02-22,58.000000,56.800000,0.000000,-4.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-03-09,56.000000,57.000000,-2.000000,-2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-03-22,56.000000,56.400000,0.000000,2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-04-05,58.000000,57.200000,2.000000,2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-04-19,58.000000,57.200000,0.000000,-2.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-05-03,55.000000,56.600000,-3.000000,-3.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-05-17,56.000000,56.600000,1.000000,4.000000,True,50.120000,1,65.000000,2.763745
australia,Australia,2010,Australia 2010,development,ALP (2PP),2009-05-31,55.000000,56.400000,-1.000000,-2.000000,True,50.120000,1,65.000000,2.763745
