country,election_year,source_table,date_raw,marker_text,marker_relevance,marker_party_rows,national_overlap_parties,marker_mae,marker_max_abs_error,matched_parties
australia,2010,australia_2010_table0.csv,Election,Election | ,generic_current_candidate,6,2,0.01999999999999602,0.01999999999999602,ALP (2PP)|L/NP (2PP)
australia,2013,australia_2013_table0.csv,7 Sep 2013,7 Sep 2013 | 2013 election,explicit_current_year,6,2,0.00999999999999801,0.00999999999999801,ALP (2PP)|L/NP (2PP)
australia,2016,australia_2016_table2.csv,7 Sep 2013,7 Sep 2013 | 2013 election,historical_other_year,6,2,3.1400000000000006,3.1400000000000006,ALP (2PP)|L/NP (2PP)
australia,2016,australia_2016_table2.csv,Election,Election | ,generic_current_candidate,6,2,0.03999999999999915,0.03999999999999915,ALP (2PP)|L/NP (2PP)
australia,2025,australia_2025_table10.csv,21 May 2022,21 May 2022 | Election,historical_other_year,7,0,,,
australia,2025,australia_2025_table10.csv,3 May 2025,3 May 2025 | Election[5],explicit_current_year,7,0,,,
australia,2025,australia_2025_table11.csv,21 May 2022,21 May 2022 | Election,historical_other_year,7,0,,,
australia,2025,australia_2025_table11.csv,3 May 2025,3 May 2025 | Election[5],explicit_current_year,7,0,,,
australia,2025,australia_2025_table12.csv,21 May 2022,21 May 2022 | Election,historical_other_year,7,0,,,
australia,2025,australia_2025_table12.csv,3 May 2025,3 May 2025 | Election[5],explicit_current_year,6,0,,,
australia,2025,australia_2025_table13.csv,21 May 2022,21 May 2022 | Election,historical_other_year,7,0,,,
australia,2025,australia_2025_table13.csv,3 May 2025,3 May 2025 | Election[5],explicit_current_year,7,0,,,
australia,2025,australia_2025_table14.csv,21 May 2022,21 May 2022 | Election,historical_other_year,7,0,,,
australia,2025,australia_2025_table14.csv,3 May 2025,3 May 2025 | Election[5],explicit_current_year,7,0,,,
australia,2025,australia_2025_table15.csv,21 May 2022,21 May 2022 | Election,historical_other_year,6,0,,,
australia,2025,australia_2025_table15.csv,3 May 2025,3 May 2025 | Election[5],explicit_current_year,6,0,,,
australia,2025,australia_2025_table16.csv,21 May 2022,21 May 2022 | Election,historical_other_year,5,0,,,
australia,2025,australia_2025_table16.csv,3 May 2025,3 May 2025 | Election[5],explicit_current_year,5,0,,,
