country,election_year,source_table,poll_party_rows,party_count,party_signature,marker_candidate_count,best_marker_date_raw,best_marker_relevance,national_overlap_parties,marker_mae,marker_max_abs_error,scope_status,scope_reason
australia,2010,australia_2010_table0.csv,463,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|LIB (Primary)|NAT (Primary)|OTHER (Primary),1,Election,generic_current_candidate,2,0.01999999999999602,0.01999999999999602,approved_marker_match,election marker closely matches national actual results
australia,2010,australia_2010_table4.csv,28,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|LIB (Primary)|NAT (Primary)|OTHER (Primary),0,,,0,,,review,no usable current-cycle election marker
australia,2013,australia_2013_table0.csv,66,6,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|OTHER (Primary),1,7 Sep 2013,explicit_current_year,2,0.00999999999999801,0.00999999999999801,approved_marker_match,election marker closely matches national actual results
australia,2013,australia_2013_table2.csv,1668,4,ALP (2PP)|ALP (Primary)|L/NP (2PP)|OTHER (Primary),0,,,0,,,review,no usable current-cycle election marker
australia,2016,australia_2016_table2.csv,1524,6,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|OTHER (Primary),2,Election,generic_current_candidate,2,0.03999999999999915,0.03999999999999915,approved_marker_match,election marker closely matches national actual results
australia,2019,australia_2019_table1.csv,1175,6,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table1.csv,366,8,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary)|UAP (Primary),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table14.csv,94,2,ALP (2PP)|L/NP (2PP),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table15.csv,98,2,ALP (2PP)|L/NP (2PP),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table16.csv,100,2,ALP (2PP)|L/NP (2PP),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table17.csv,74,2,ALP (2PP)|L/NP (2PP),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table18.csv,66,2,ALP (2PP)|L/NP (2PP),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table19.csv,48,2,ALP (2PP)|L/NP (2PP),0,,,0,,,review,no usable current-cycle election marker
australia,2022,australia_2022_table2.csv,771,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),0,,,0,,,review,no usable current-cycle election marker
australia,2025,australia_2025_table10.csv,419,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),2,3 May 2025,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
australia,2025,australia_2025_table11.csv,427,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),2,3 May 2025,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
australia,2025,australia_2025_table12.csv,432,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),2,3 May 2025,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
australia,2025,australia_2025_table13.csv,187,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),2,3 May 2025,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
australia,2025,australia_2025_table14.csv,149,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),2,3 May 2025,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
australia,2025,australia_2025_table15.csv,32,6,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|OTHER (Primary),2,3 May 2025,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
australia,2025,australia_2025_table16.csv,15,5,ALP (2PP)|ALP (Primary)|GRN (Primary)|ONP (Primary)|OTHER (Primary),2,3 May 2025,explicit_current_year,0,,,review,fewer than 2 marker parties matched national actuals
australia,2025,australia_2025_table19.csv,124,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),0,,,0,,,review,no usable current-cycle election marker
australia,2025,australia_2025_table2.csv,497,7,ALP (2PP)|ALP (Primary)|GRN (Primary)|L/NP (2PP)|L/NP (Primary)|ONP (Primary)|OTHER (Primary),0,,,0,,,review,no usable current-cycle election marker
