country,election_year,party,actual_pct
uk,1918,CON,38.56835372837434
uk,1918,LIB,13.020743513220264
uk,1918,LAB,21.311410950763204
uk,1922,CON,38.74809929136887
uk,1922,LIB,19.049863385942473
uk,1922,LAB,29.82497598196283
uk,1923,CON,38.01622748245375
uk,1923,LIB,29.578892167131993
uk,1923,LAB,30.787697851729224
uk,1924,CON,46.67960255342937
uk,1924,LIB,17.77119625140936
uk,1924,LAB,33.431603573412985
uk,1929,CON,38.05946849607205
uk,1929,LIB,23.57625054957432
uk,1929,LAB,37.17669893228453
uk,1931,CON,55.03583714717472
uk,1931,LIB,7.002715320860149
uk,1931,LAB,29.500785409225987
uk,1935,CON,47.907300294938935
uk,1935,LIB,6.7572972816545995
uk,1935,LAB,38.15199999465154
uk,1945,CON,36.42150448971706
uk,1945,LIB,9.101207404960856
uk,1945,LAB,48.05414158324885
uk,1950,CON,40.02225402793419
uk,1950,LIB,9.117031861372544
uk,1950,LAB,46.105859876071804
uk,1951,CON,43.97114641507059
uk,1951,LIB,2.5547050122219463
uk,1951,LAB,48.11713835103389
uk,1955,CON,49.64811215687661
uk,1955,LIB,2.699550065024074
uk,1955,LAB,46.35729724217285
uk,1959,CON,49.351815329818685
uk,1959,LIB,5.888790030158892
uk,1959,LAB,43.84474003164836
uk,1964,CON,43.405101997800536
uk,1964,LIB,11.20512295261255
uk,1964,LAB,44.12650285518352
uk,1966,CON,41.880150937239925
uk,1966,LIB,8.53655642631096
uk,1966,LAB,47.92293678350484
uk,1970,CON,46.37597023936028
uk,1970,LIB,7.468235871217862
uk,1970,LAB,42.96896278339485
uk,1974F,CON,37.76636331277083
uk,1974F,LIB,19.33754233752338
uk,1974F,LAB,37.149804130614314
uk,1974O,CON,35.85773212274051
uk,1974O,LIB,18.320705582860413
uk,1974O,LAB,39.25772134296048
uk,1979,CON,43.89168912037569
uk,1979,LIB,13.823009241452844
uk,1979,LAB,36.95372454713587
uk,1983,CON,42.42649606504978
uk,1983,LIB,25.367976540897434
uk,1983,LAB,27.573744227795792
uk,1987,CON,42.31495699657805
uk,1987,LIB,22.575578056291516
uk,1987,LAB,30.83949760763417
uk,1992,CON,41.93536763914125
uk,1992,LIB,17.932735497925133
uk,1992,LAB,34.38666488897558
uk,1997,CON,30.6558778281243
uk,1997,LIB,16.75797291873973
uk,1997,LAB,43.207966148999986
uk,2001,CON,31.696793724276695
uk,2001,LIB,18.25862278406621
uk,2001,LAB,40.67507571760156
uk,2005,CON,32.36154023973776
uk,2005,LIB,22.04733435062049
uk,2005,LAB,35.18455629037208
uk,2010,CON,36.054287169823475
uk,2010,LIB,23.02728101600924
uk,2010,LAB,28.99027149513312
uk,2015,CON,36.809511515993556
uk,2015,LIB,7.870067700897711
uk,2015,LAB,30.44959813535456
uk,2017,CON,42.34444816238784
uk,2017,LIB,7.365070948545071
uk,2017,LAB,39.98833816127743
uk,2019,CON,43.62593244041456
uk,2019,LIB,11.546218214406085
uk,2019,LAB,32.07664058129369
canada,1867,CPC,29.29955647164915
canada,1867,LPC,27.981853985313876
canada,1867,OTHER,42.71858954303697
canada,1872,CPC,29.29572384439194
canada,1872,LPC,39.7723952603387
canada,1872,OTHER,30.931880895269355
canada,1874,CPC,20.373921549930955
canada,1874,LPC,45.00655104339934
canada,1874,OTHER,34.619527406669704
canada,1878,CPC,31.427191605659154
canada,1878,LPC,38.310814518873
canada,1878,OTHER,30.261993875467848
canada,1882,CPC,31.786682469275572
canada,1882,LPC,35.6743896021192
canada,1882,OTHER,32.538927928605226
canada,1887,CPC,43.31161393017064
canada,1887,LPC,46.49782062153196
canada,1887,OTHER,10.190565448297408
canada,1891,CPC,45.31881757465033
canada,1891,LPC,47.72543488737445
canada,1891,OTHER,6.955747537975218
canada,1896,CPC,43.27951722019003
canada,1896,LPC,46.45120897849868
canada,1896,OTHER,10.269273801311297
canada,1900,CPC,44.50500657363226
canada,1900,LPC,51.73979245949148
canada,1900,OTHER,3.7552009668762576
canada,1904,CPC,45.13116204214581
canada,1904,LPC,51.38212969564647
canada,1904,OTHER,3.4867082622077197
canada,1908,CPC,45.75246338330503
canada,1908,LPC,49.302925025215735
canada,1908,OTHER,4.944611591479236
canada,1911,CPC,48.3308972950364
canada,1911,LPC,46.03258934852827
canada,1911,OTHER,5.636513356435331
canada,1917,OTHER,100.0
canada,1921,CPC,37.958568347054495
canada,1921,LPC,52.12219266534059
canada,1921,OTHER,9.919238987604908
canada,1925,CPC,50.42512558008679
canada,1925,LPC,43.40244597925443
canada,1925,OTHER,6.172428440658774
canada,1926,CPC,47.43316813960149
canada,1926,LPC,44.547743801399285
canada,1926,OTHER,8.019088058999223
canada,1930,CPC,49.313791099057006
canada,1930,LPC,44.614609933050176
canada,1930,OTHER,6.07159896789282
canada,1935,CPC,38.05358049514038
canada,1935,LPC,56.99524740075484
canada,1935,OTHER,4.951172104104776
canada,1940,CPC,1.758957772896218
canada,1940,LPC,85.83568089594962
canada,1940,NDP,0.028515403215420083
canada,1940,OTHER,12.376845927938747
canada,1945,LPC,75.48587216409511
canada,1945,OTHER,24.514127835904887
canada,1949,LPC,89.92732317440876
canada,1949,OTHER,10.072676825591241
canada,1953,LPC,92.58216245675304
canada,1953,OTHER,7.417837543246966
